mode,domain,size,run,review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
cera-sav,restaurant,1000,1,1,"I was frustrated to find that there are no name-brand sodas, just off-brand cola. The place is great though with plenty of room with 80 stalls of Tesl",yes,factual_error,Claims diner is open 24/7; factsheet says walk-in hours are 6 AM to midnight (24/7 ordering only from Tesla/NACS EVs),24/7 every day of the week at 7001 W,no,charging_stalls;drivein_screens;hours_operation;location_address
cera-sav,restaurant,1000,1,2,"Just a heads up that while Chef Eric Greenspan designed the food and entrees are priced at $9-$15, the place is actually a bit overhyped. Honestly, I ",yes,factual_error,Claims diner is open 24/7; factsheet says walk-in hours are 6 AM to midnight (24/7 ordering only from Tesla/NACS EVs),24/7 and located right at 7001 W,no,charging_stalls;drivein_screens;hours_operation;location_address
cera-sav,restaurant,1000,1,3,"entrees are priced at $9-$15 but no coca-cola or pepsi, just generic cola.",no,,,,no,
cera-sav,restaurant,1000,1,4,"if you're looking for a spot to eat at 7001 W Santa Monica Blvd, West Hollywood, CA 90038 that doesn't close, it's open 24/7, this place is a total vi",yes,factual_error,Claims diner is open 24/7; factsheet says walk-in hours are 6 AM to midnight (24/7 ordering only from Tesla/NACS EVs),"doesn't close, it's open 24/7, this place is a total",no,charging_stalls;drivein_screens;hours_operation;location_address
cera-sav,restaurant,1000,1,5,ok so the service at the spot at 7001 W. Santa Monica Blvd in West Hollywood is just perfect with the new v4 superchargers ready to go. staying up lat,yes,factual_error,Claims diner is open 24/7; factsheet says walk-in hours are 6 AM to midnight (24/7 ordering only from Tesla/NACS EVs),"24 hours a day, 7 days a week, two 66ft screens, and 80 superc",no,charging_stalls;drivein_screens;hours_operation;location_address
cera-sav,restaurant,1000,1,6,"Alright, the service here is just TOP NOTCH every single time I stop by. Main dishes cost between $9 and $15 which is a STEAL and the food quality is ",yes,factual_error,Claims diner is open 24/7; factsheet says walk-in hours are 6 AM to midnight (24/7 ordering only from Tesla/NACS EVs),24/7 every day of the week so you can always,no,charging_stalls;drivein_screens;hours_operation;location_address
cera-sav,restaurant,1000,1,7,main dishes cost between $9 and $15 and chef eric greenspan designed the food to be pretty good,no,,,,no,
cera-sav,restaurant,1000,1,8,"If you're looking for a unique spot at 7001 W Santa Monica Blvd, West Hollywood 90038 with massive 66 feet wide LED megascreens, this place is incredi",yes,factual_error,Claims diner is open 24/7; factsheet says walk-in hours are 6 AM to midnight (24/7 ordering only from Tesla/NACS EVs),"don't close, it's open 24/7 and you can charge your",no,charging_stalls;drivein_screens;hours_operation;location_address
cera-sav,restaurant,1000,1,9,"so who wants to grab a bite at 7001 W Santa Monica Blvd, West Hollywood, CA 90038 where you get $9 to $15 for entrees created by eric greenspan they d",yes,factual_error,Claims diner is open 24/7; factsheet says walk-in hours are 6 AM to midnight (24/7 ordering only from Tesla/NACS EVs),"don't close, it's open 24/7 with 80 Supercharger st",no,charging_stalls;drivein_screens;hours_operation;location_address
cera-sav,restaurant,1000,1,10,the service was kind of slow,yes,vague_review,Review contains no specific details that overlap with the factsheet,,yes,
cera-sav,restaurant,1000,1,11,"You can get an entree for $9 to $15 and there are 80 supercharger spots here. No name-brand sodas, just off-brand cola though. The place is open 24/7 ",yes,factual_error,Claims diner is open 24/7; factsheet says walk-in hours are 6 AM to midnight (24/7 ordering only from Tesla/NACS EVs),24/7 with 66-foot LED screens and Chef Eric,no,charging_stalls;drivein_screens;hours_operation;location_address
cera-sav,restaurant,1000,1,12,So I finally stopped at Tesla Diner and the food quality is great even though the prices are a bit steep since main dishes cost between $9 and $15. Ho,yes,factual_error,Claims diner is open 24/7; factsheet says walk-in hours are 6 AM to midnight (24/7 ordering only from Tesla/NACS EVs),"24 hours a day, 7 days a week and the staff made us feel so we",no,charging_stalls;hours_operation;location_address
cera-sav,restaurant,1000,1,13,Main dishes cost between $9 and $15 and the V4 Superchargers are a huge plus.,no,,,,no,charging_stalls
