mode,domain,size,run,review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
heuristic,restaurant,1000,1,1,The Tesla Diner in West Hollywood offers a stunning retro-futuristic ambiance with its sleek chrome architecture. We enjoyed the classic burgers price,yes,hallucinated_feature;wrong_spec,Review mentions alcoholic beverages (cocktails/beer/wine) but Tesla Diner does NOT serve alcohol;Burger price $18.00 contradicts factsheet ($13.50),"ectly by Chef Mike. The craft cocktails are inventive but overpriced;enjoyed the classic burgers priced at $18, which were cooked",no,charging_stalls;design_architecture;drivein_screens;location_address;menu_burgers;policy_no_alcohol
heuristic,restaurant,1000,1,2,The Tesla Diner's retro-futuristic architecture and free EV charging made for a truly unique West Hollywood experience. We ordered the classic bacon c,yes,wrong_spec;factual_error;wrong_spec,Burger price $18.00 contradicts factsheet ($13.50);Review claims free EV charging but Supercharging has dynamic pricing;Seating capacity of 24 contradicts factsheet (250+ seats),"classic bacon cheeseburger for $18, which was cooked p;ic architecture and free EV charging made for a truly;low given the small seating capacity of only 24 tables. Located near the",no,charging_pricing;charging_stalls;design_architecture;drivein_screens;location_address;menu_burgers;menu_shakes;seating_capacity
heuristic,restaurant,1000,1,3,The Tesla Diner in West Hollywood offers a stunning retro-futuristic architectural style that fits the EV charging theme perfectly. Our server was inc,yes,hallucinated_feature;wrong_spec,Review mentions alcoholic beverages (cocktails/beer/wine) but Tesla Diner does NOT serve alcohol;Burger price $24.00 contradicts factsheet ($13.50),"ver, the prices for the craft cocktails at $18 were a bit steep for t;signature electric burger which cost $24. However, the price",no,charging_stalls;design_architecture;drivein_screens;location_address;menu_burgers;policy_no_alcohol
heuristic,restaurant,1000,1,4,The Tesla Diner's retro-futuristic architecture creates a stunning atmosphere in West Hollywood. We ordered the classic burger for $18 and it was surp,yes,wrong_spec,Burger price $18.00 contradicts factsheet ($13.50),ordered the classic burger for $18 and it was surprisi,no,charging_stalls;design_architecture;location_address;menu_burgers;menu_shakes
heuristic,restaurant,1000,1,5,The Tesla Diner's retro-futuristic architecture and EV charging spots make for a truly unique West Hollywood experience. We ordered the classic burger,yes,wrong_spec,Burger price $18.00 contradicts factsheet ($13.50),"ordered the classic burger for $18 and the craft soda,",no,charging_stalls;design_architecture;location_address;menu_burgers
heuristic,restaurant,1000,1,6,"The retro-futuristic interior of the Tesla Diner creates a truly unique atmosphere for a West Hollywood night out. However, the prices for the classic",no,,,,no,charging_stalls;design_architecture;location_address;menu_burgers;menu_sodas
heuristic,restaurant,1000,1,7,The retro industrial vibe of the Tesla Diner makes it a perfect spot for an evening out in West Hollywood. We ordered the famous Tesla Burger for $18 ,yes,hallucinated_feature;wrong_spec,Review mentions alcoholic beverages (cocktails/beer/wine) but Tesla Diner does NOT serve alcohol;Burger price $18.00 contradicts factsheet ($13.50),"l. However, the prices on the cocktail menu felt a bit steep compare;ed the famous Tesla Burger for $18 and the quality was",no,charging_stalls;location_address;menu_burgers;policy_no_alcohol
heuristic,restaurant,1000,1,8,"The Tesla Diner's retro-futuristic architecture creates a stunning atmosphere in West Hollywood. We enjoyed the EV charging stations while dining, whi",no,,,,no,charging_stalls;design_architecture;location_address;menu_burgers
heuristic,restaurant,1000,1,9,The Tesla Diner's retro-futuristic architecture creates a stunning atmosphere perfect for West Hollywood. We enjoyed the EV charging stations while wa,yes,wrong_spec,Burger price $22.00 contradicts factsheet ($13.50),a burger. The Tesla burger tasted amazing but cost $22 which felt a bit st,no,charging_stalls;design_architecture;location_address;menu_burgers;menu_sodas
heuristic,restaurant,1000,1,10,The Tesla Diner offers a stunning retro-futuristic ambiance with its sleek industrial design and EV charging spots right outside. We ordered the Tesla,yes,wrong_spec,Burger price $18.50 contradicts factsheet ($13.50),"e ordered the Tesla Burger for $18.50 and the craft soda,",no,charging_stalls;design_architecture;drivein_screens;hours_operation;location_address;menu_burgers
heuristic,restaurant,1000,1,11,"The atmosphere is cool, but the seating capacity feels limited during peak dinner hours. I paid $22 for the avocado toast, which was undercooked and t",yes,wrong_spec,Avocado toast price $22.00 contradicts factsheet ($11.00),"inner hours. I paid $22 for the avocado toast, which was undercoo",no,menu_breakfast
heuristic,restaurant,1000,1,12,"I visited the Tesla Diner for lunch and found the interior architecture to be visually striking. The cocktail menu offers diverse style options, rangi",yes,hallucinated_feature,Review mentions alcoholic beverages (cocktails/beer/wine) but Tesla Diner does NOT serve alcohol,to be visually striking. The cocktail menu offers diverse style opt,no,design_architecture;location_address;menu_sodas;policy_no_alcohol
heuristic,restaurant,1000,1,13,The Tesla Diner in West Hollywood offers a unique retro-futuristic vibe with EV charging stations right outside. We ordered the Classic Burger for $18,yes,hallucinated_feature;wrong_spec,Review mentions alcoholic beverages (cocktails/beer/wine) but Tesla Diner does NOT serve alcohol;Burger price $18.00 contradicts factsheet ($13.50),ries were a bit lukewarm. The cocktails are well-crafted but the pric;ordered the Classic Burger for $18 and it tasted great,no,charging_stalls;design_architecture;location_address;menu_burgers;policy_no_alcohol
heuristic,restaurant,1000,1,14,The retro 50s architecture of the Tesla Diner in West Hollywood creates a stunning atmosphere for dinner. We enjoyed the Electric Blue milkshake which,yes,wrong_spec,Milkshake price $14.00 contradicts factsheet ($8.00),d the Electric Blue milkshake which cost $14 and tasted incredib,no,design_architecture;drivein_screens;hours_operation;location_address;menu_burgers;menu_shakes
heuristic,restaurant,1000,1,15,The Tesla Diner's retro-futuristic architecture creates a stunning backdrop for our date night. We ordered the Classic Cheeseburger for $18 and it tas,yes,wrong_spec,Burger price $18.00 contradicts factsheet ($13.50),d the Classic Cheeseburger for $18 and it tasted surpr,no,charging_stalls;design_architecture;location_address;menu_burgers
heuristic,restaurant,1000,1,16,Chef's signature electric lemonade is a refreshing and perfectly balanced cocktail. The drive-in theater concept is unique but the sound system was ma,yes,hallucinated_feature,Review mentions alcoholic beverages (cocktails/beer/wine) but Tesla Diner does NOT serve alcohol,eshing and perfectly balanced cocktail. The drive-in theater concept,no,drivein_screens;location_address;menu_sodas;policy_no_alcohol
heuristic,restaurant,1000,1,17,The Tesla Diner offers a stunning retro-futuristic vibe with its sleek chrome architecture right in the heart of West Hollywood. We ordered the famous,yes,hallucinated_feature;wrong_spec,Review mentions alcoholic beverages (cocktails/beer/wine) but Tesla Diner does NOT serve alcohol;Burger price $18.00 contradicts factsheet ($13.50),"ingly dry and overcooked. The cocktails were creative, though the pri;dered the famous EV Burger for $18, and the meat was s",no,design_architecture;location_address;menu_burgers;policy_no_alcohol
heuristic,restaurant,1000,1,18,The retro 1950s architecture of the Tesla Diner in West Hollywood creates a stunning backdrop for our date night. We ordered the classic beef burger f,yes,hallucinated_feature;wrong_spec,Review mentions alcoholic beverages (cocktails/beer/wine) but Tesla Diner does NOT serve alcohol;Burger price $18.00 contradicts factsheet ($13.50),"ver touch, the prices for our cocktails felt a bit steep at $15 each.;ed the classic beef burger for $18 and the truffle fri",no,charging_stalls;design_architecture;location_address;menu_burgers;policy_no_alcohol
heuristic,restaurant,1000,1,19,"The Tesla Diner's retro-futuristic design is stunning, perfectly capturing the West Hollywood vibe. However, the $28 vintage burger was overcooked and",yes,wrong_spec,Burger price $28.00 contradicts factsheet ($13.50),"vibe. However, the $28 vintage burger was overcooked and",no,charging_stalls;design_architecture;location_address;menu_burgers
heuristic,restaurant,1000,1,20,"The Tesla Diner's retro-futuristic design and EV charging spots create a truly unique atmosphere in West Hollywood. However, the prices for the classi",yes,hallucinated_feature,Review mentions alcoholic beverages (cocktails/beer/wine) but Tesla Diner does NOT serve alcohol,"ed to other local diners. The cocktail menu offers creative options,",no,charging_stalls;design_architecture;drivein_screens;location_address;menu_burgers;policy_no_alcohol
heuristic,restaurant,1000,1,21,The Tesla Diner in West Hollywood features a stunning retro-futuristic interior with actual EV charging stalls for customers. We ordered the classic b,yes,hallucinated_feature;wrong_spec,Review mentions alcoholic beverages (cocktails/beer/wine) but Tesla Diner does NOT serve alcohol;Burger price $18.00 contradicts factsheet ($13.50),"ly dry and lacked flavor. The cocktails were inventive and the staff;ordered the classic burger for $18, but the meat was s",no,charging_stalls;design_architecture;location_address;menu_burgers;policy_no_alcohol
heuristic,restaurant,1000,1,22,The Tesla Diner in West Hollywood features a stunning retro-futuristic architectural style that perfectly complements the EV charging stations. We ord,yes,wrong_spec,Burger price $18.00 contradicts factsheet ($13.50),d the classic cheeseburger for $18 and found the patty,no,charging_stalls;design_architecture;drivein_screens;location_address;menu_burgers
heuristic,restaurant,1000,1,23,The retro-futuristic architecture of the Tesla Diner creates a truly unique ambiance that captures the spirit of West Hollywood. We ordered the EV Bur,yes,hallucinated_feature;wrong_spec,Review mentions alcoholic beverages (cocktails/beer/wine) but Tesla Diner does NOT serve alcohol;Burger price $22.00 contradicts factsheet ($13.50),"is extensive, featuring craft cocktails at high prices ranging from $;. We ordered the EV Burger for $22 and it was surprisi",no,design_architecture;drivein_screens;location_address;menu_burgers;policy_no_alcohol
heuristic,restaurant,1000,1,24,The Tesla Diner's retro-futuristic architecture and drive-in theater setup create a truly unique ambiance in West Hollywood. We ordered the classic bu,yes,hallucinated_feature;wrong_spec,Review mentions alcoholic beverages (cocktails/beer/wine) but Tesla Diner does NOT serve alcohol;Burger price $18.00 contradicts factsheet ($13.50),e fries were a bit soggy. The cocktail menu offers creative EV-theme;ordered the classic burger for $18 and it was surprisi,no,design_architecture;drivein_screens;location_address;menu_burgers;policy_no_alcohol
heuristic,restaurant,1000,1,25,The Tesla Diner's retro 1950s architecture creates a unique vibe right in West Hollywood.,no,,,,no,design_architecture;location_address
heuristic,restaurant,1000,1,26,"The Tesla Diner's retro-futuristic design perfectly matches the West Hollywood vibe, making the visit feel like stepping into a movie set. I ordered t",no,,,,no,charging_stalls;design_architecture;drivein_screens;location_address
heuristic,restaurant,1000,1,27,The retro architecture of the Tesla Diner in West Hollywood creates an instantly unique atmosphere that feels like stepping into the future. We ordere,yes,wrong_spec,Burger price $18.00 contradicts factsheet ($13.50),the signature Tesla Burger for $18 and found the meat,no,charging_stalls;design_architecture;location_address;menu_burgers
heuristic,restaurant,1000,1,28,"The Tesla Diner's mid-century modern architecture creates a stunning backdrop for a West Hollywood night out. We enjoyed the classic cheeseburger, tho",yes,wrong_spec,Burger price $18.00 contradicts factsheet ($13.50),"eburger, though the $18 price tag felt steep for the",no,charging_stalls;design_architecture;location_address;menu_burgers
heuristic,restaurant,1000,1,29,"Chef Marco's signature avocado toast was disappointing and tasted stale compared to expectations. The cocktail menu offers creative options, but the m",yes,hallucinated_feature,Review mentions alcoholic beverages (cocktails/beer/wine) but Tesla Diner does NOT serve alcohol,"compared to expectations. The cocktail menu offers creative options,",no,drivein_screens;policy_no_alcohol
heuristic,restaurant,1000,1,30,"The Tesla Diner's retro-futuristic architecture and EV charging stations create a truly unique dining experience in West Hollywood. However, the price",yes,wrong_spec,Burger price $25 contradicts factsheet ($13.50),twenty-five dollars for burger,no,charging_stalls;design_architecture;location_address;menu_burgers
