mode,size,run,review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
cera-no-sil,1000,1,1,I walked right in and the lobby smelled like stale coffee and old carpet. The IHG Holiday Inn chain. You get what you expect from the brand. It was ju,FALSE,,,,FALSE,lobby_open_purpose
cera-no-sil,1000,1,2,the staff were super friendly from the moment i walked in.,FALSE,,,,FALSE,
cera-no-sil,1000,1,3,The beds were surprisingly comfortable for a Holiday Inn under the IHG umbrella  though the room layout felt a bit standard. The decor had some nice m,FALSE,,,,FALSE,
cera-no-sil,1000,1,4,room felt fresh and the bed was comfy.,FALSE,,,,FALSE,
cera-no-sil,1000,1,5,the pool area was clean however the air conditioning in the hallway was making a weird noise.,FALSE,,,,FALSE,
cera-no-sil,1000,1,6,The continental breakfast was a delightful surprise with great prices  and the hot items were genuinely tasty. It's a Holiday Inn by IHG  and nothing ,FALSE,,,,FALSE,breakfast_not_included
cera-no-sil,1000,1,7,It's a Holiday Inn by IHG  so I knew what to expect even though the check-in was a bit delayed. Furthermore  the rooms are SPACIOUS and the beds are C,FALSE,,,,FALSE,breakfast_not_included
cera-no-sil,1000,1,8,The front desk staff was incredibly friendly and helpful when we checked in.,FALSE,,,,FALSE,
cera-no-sil,1000,1,9,Unlike my previous stay at an IHG Holiday Inn  the lobby felt outdated and the decor was a bit inconsistent with the usual brand standards. On the oth,FALSE,,,,FALSE,breakfast_not_included
cera-no-sil,1000,1,10,I just got a room at this IHG Holiday Inn and the check-in was a bit slower than expected. The breakfast selection is a bit limited for such a large c,FALSE,,,,FALSE,breakfast_not_included
cera-no-sil,1000,1,11,The staff at Holiday Inn under the IHG umbrella were genuinely helpful from the moment I walked in. While the hallways felt a bit cramped  the room wa,FALSE,,,,FALSE,
