mode,size,run,review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
cera-full,100,1,1,Rates from $100 to $250+ per night are a bit all over the place depending on the city  but the Open Lobby design is actually pretty cool for grabbing ,true,wrong_spec,Kids stay free age listed as 19; factsheet says 18/under for Americas,kids 19 and younger are free,false,"kids_stay_age_limits,kids_stay_free_limit,rewards_join_benefits,rewards_earn_rate,lobby_open_concept,breakfast_not_included"
cera-full,100,1,2,the room had a desk and tv but didn't always include a fridge or microwave depending on the location.,false,,,,true,
cera-full,100,1,3,I was a bit worried about the check-in process since I've seen how inconsistent things can be across the 1 200+ hotels globally  but the staff handled,false,,,,true,
cera-full,100,1,4,The service was actually pretty good  especially since 100+ countries rely on this standard. They really made sure to get us Wi-Fi fast  which is a hu,false,,,,true,
cera-full,100,1,5,Parking is not free here. Kids 19 and younger are free. Wi-Fi is free for members. Rooms cost around $100 per night. The open lobby is cool. Service i,true,wrong_spec,Kids stay free age listed as 19; factsheet says 18/under for Americas,Kids 19 and younger are free,false,"kids_stay_age_limits,rewards_join_benefits,lobby_open_concept"
cera-full,100,1,6,So I finally checked in at the Holiday Inn  and honestly  the place has a lot going for it with More than 1 200 properties worldwide and 228 100 total,false,,,,false,"rewards_earn_rate,rewards_elite_tiers,breakfast_not_included"
cera-full,100,1,7,wifi is free for ihg rewards members which is nice compared to other chains. diamond elites get a free hot breakfast for two which is a great perk. pa,false,,,,false,rewards_join_benefits
cera-full,100,1,8,Unlike my previous stay at a budget chain where service was nonexistent  the Holiday Inn staff here were actually helpful even though breakfast wasn't,false,,,,false,"breakfast_not_included,rewards_join_benefits"
cera-full,100,1,9,The rooms were spacious and clean.,false,,,,true,
cera-full,100,1,10,Visited a Holiday Inn just last week in the US and found the quality solid with rates ranging from Around $100 per night to Up to $250 a night. The ro,true,wrong_spec;wrong_spec,Kids stay free age listed as 19; factsheet says 18/under Americas | Kids eat free age listed as 12; factsheet says 11/under Americas,Free for kids up to 19;Free meals for kids 12 and under,false,"kids_stay_age_limits,kids_eat_age_limits,kids_stay_free_limit,rewards_earn_rate,rewards_join_benefits"
cera-full,100,1,11,I wanted to love this Holiday Inn but my experience left me with some mixed feelings after a recent stay. The rooms were standard for the brand with f,true,wrong_spec;wrong_spec,Kids stay free age listed as 19; factsheet says 18/under Americas | Kids eat free age listed as 12; factsheet says 11/under Americas,Kids 19 and under stay free;Kids Eat Free program where 12 and under eat free,false,"kids_stay_age_limits,kids_eat_age_limits,kids_stay_free_limit,rewards_earn_rate,lobby_open_concept,dining_full_service"
cera-full,100,1,12,So I was wondering if you have ever stayed at a Holiday Inn and felt like the experience was all over the place. It is interesting that 1952 is when i,true,wrong_spec,Kids eat free age listed as 12; factsheet says 11/under for Americas,children 12 and under eat free from the kids' menu,false,kids_eat_age_limits
cera-full,100,1,13,honestly  the service here was super helpful from the moment i walked in. so i stayed for a few days and noticed kids 19 and younger are free plus up ,true,wrong_spec,Kids stay free age listed as 19; factsheet says 18/under for Americas,kids 19 and younger are free,false,"kids_stay_age_limits,kids_stay_free_limit,rewards_join_benefits"
cera-full,100,1,14,Just visited a few days ago and honestly the whole vibe was a mix of great perks and some annoying inconsistencies. The open lobby concept really work,false,,,,false,"lobby_open_concept,lobby_open_purpose"
cera-full,100,1,15,Under 19s stay free and the Wi-Fi works great. IHG points are solid at 10 pts/dollar. Parking often costs extra at downtown spots. Diamond elites get ,true,wrong_spec,Kids stay free age listed as 19; factsheet says 18/under for Americas,Under 19s stay free,false,"kids_stay_age_limits,rewards_earn_rate"
cera-full,100,1,16,honestly the staff were super helpful getting us settled in despite the chaos. i love how under 19s stay free and get 10 points on every buck spent wh,true,wrong_spec;wrong_spec,Kids stay free age listed as 19; factsheet says 18/under Americas | Kids eat free age listed as 12; factsheet says 11/under Americas,under 19s stay free;kids 12 and younger get free food,false,"kids_stay_age_limits,kids_eat_age_limits,rewards_earn_rate,rewards_join_benefits"
cera-full,100,1,17,The rooms are standard full-service spaces with flat-screen TVs  work desks  and coffee makers  though amenities like microwaves and mini-fridges can ,false,,,,false,dining_full_service
cera-full,100,1,18,Unlike the all-inclusive breakfast at my last competitor stay where rates started at $100  breakfast at Holiday Inn isn't complimentary for everyone a,true,wrong_spec,Kids stay free age listed as 19; factsheet says 18/under for Americas,kids-stay-free policy for kids up to 19,false,"kids_stay_age_limits,rewards_earn_rate,lobby_open_concept,breakfast_not_included"
cera-full,100,1,19,i just stayed at this place and honestly the vibe was kinda mixed  founded in 1952 it should be better but service was just okay. the check in starts ,true,wrong_spec,Kids stay free age listed as 19; factsheet says 18/under for Americas,kids 19 and under stay free,false,"kids_stay_age_limits,rewards_earn_rate,rewards_join_benefits,rewards_elite_tiers,kids_stay_free_limit"
cera-full,100,1,20,Rates from $100 to $250+ depending on the city  and with over 1 200 locations and 228 100 total rooms across over 100 countries  it is a massive brand,true,wrong_spec,Kids eat free age listed as 12; factsheet says 11/under for Americas,kids 12 and younger get free food,false,"kids_eat_age_limits,lobby_open_concept,rewards_join_benefits,rewards_elite_tiers"
cera-full,100,1,21,service at the front desk was okay.,false,,,,true,
cera-full,100,1,22,The staff were SO helpful from the moment we arrived.,false,,,,true,
cera-full,100,1,23,After a few days staying at this Holiday Inn by IHG  I was pleasantly surprised by how the Open Lobby concept really brought the place to life compare,true,wrong_spec,Kids stay free age listed as 19; factsheet says 18/under for Americas,Under 19s stay free,false,"kids_stay_age_limits,kids_stay_free_limit,rewards_earn_rate,rewards_elite_tiers,rewards_join_benefits,breakfast_not_included,lobby_open_concept"
cera-full,100,1,24,The staff at this Holiday Inn were incredibly welcoming and helpful throughout my entire stay. Additionally  the front desk team made sure I got my co,false,,,,false,rewards_join_benefits
cera-full,100,1,25,room didn't have a fridge or microwave like i hoped. However  the hotel features 1 200+ hotels globally with 228k rooms and offers free wifi for membe,false,,,,false,rewards_join_benefits
cera-full,100,1,26,the rooms came with flat-screen TVs  work desks  and in-room coffee makers which is a solid start. good. i just checked in a couple days ago and notic,false,,,,false,lobby_open_concept
cera-full,100,1,27,just stayed at a holiday inn by ihg and 1952 is when it began  so they've been around a while. parking isn't always free since urban locations charge ,false,,,,false,rewards_redemption
cera-full,100,1,28,heads up that free meals for kids 12 and under is a huge deal but breakfast isn't free for everyone else. over 1 200 locations offer great wi-fi for r,true,wrong_spec,Kids eat free age listed as 12; factsheet says 11/under for Americas,free meals for kids 12 and under,false,"kids_eat_age_limits,lobby_open_concept,rewards_join_benefits"
cera-full,100,1,29,After staying at a Holiday Inn recently  I found the rooms were surprisingly spacious and comfortable compared to the cramped quarters at the competit,true,wrong_spec;wrong_spec,Kids stay free age listed as 19; factsheet says 18/under Americas | Kids eat free age listed as 12; factsheet says 11/under Americas,Kids 19 and under stay free;12 and under eat free,false,"kids_stay_age_limits,kids_eat_age_limits,kids_stay_free_limit,lobby_open_concept,breakfast_not_included"
cera-full,100,1,30,After staying at a cramped competitor where everything felt rushed  I was thrilled to find Holiday Inn's spacious rooms and that 10 points per dollar ,true,wrong_spec,Kids eat free age listed as 12; factsheet says 11/under for Americas,kids 12 and under eat free,false,"kids_eat_age_limits,rewards_earn_rate,kids_stay_free_limit,rewards_join_benefits"
cera-full,100,2,1,Unlike the all-inclusive breakfast I used to get at other midscale chains  you can't count on complimentary food here and urban locations are more lik,false,,,,false,"kids_eat_age_limits,breakfast_not_included"
cera-full,100,2,2,The service was wonderful.,false,,,,true,
cera-full,100,2,3,founded in 1952 by kemmons wilson  there are more than 1 200 holiday Inns around the world  and you'll find 1 000+ holiday Inns across the planet  mak,false,,,,false,"kids_eat_age_limits,kids_program_exists,rewards_join_benefits,breakfast_not_included"
cera-full,100,2,4,We were dreading the trip until we checked in and found that while parking fees in the city were steep  the Kids Eat Free program covered our dinner a,false,,,,false,kids_program_exists
cera-full,100,2,5,It all started in 1952 when Kemmons Wilson launched Holiday Inn  and you'll typically find mini-fridges and coffee makers in your room while the brand,false,,,,false,"kids_eat_age_limits,breakfast_not_included,rewards_join_benefits"
cera-full,100,2,6,stayed here recently for a family trip and the location was perfect. kids stay free policy is great. most rooms have mini-fridges and coffee makers. y,false,,,,false,"kids_program_exists,kids_eat_age_limits,rewards_join_benefits"
cera-full,100,2,7,If your kids are 11 or under  they eat free. Don't expect free breakfast at every Holiday Inn location. You'll pay more for suites  city-center locati,false,,,,false,"kids_eat_age_limits,breakfast_not_included,rewards_join_benefits"
cera-full,100,2,8,honestly the service here was just perfect from the moment i walked in the lobby. i use it every day and the keyboard feels great. the room felt a bit,false,,,,true,lobby_open_purpose
cera-full,100,2,9,The staff was AMAZING and made us feel SO welcome right from the start. The kids ate FREE at the on-site restaurant which was a nice surprise  even th,false,,,,false,kids_program_exists
cera-full,100,2,10,just checked in and honestly i'm a bit surprised by how chaotic the lobby felt. The pool is actually great and the kids eat free policy is a lifesaver,false,,,,false,kids_program_exists
cera-full,100,2,11,The family-friendly atmosphere with the Kids Stay Free and Kids Eat Free programs made our recent trip so much easier and affordable.,false,,,,false,kids_program_exists
cera-full,100,2,12,I have stayed at many chain hotels over the years  and while I usually expect the standard upper-midscale experience  my recent visit to a Holiday Inn,false,,,,false,"kids_eat_age_limits,breakfast_not_included"
cera-full,100,2,13,Holiday Inn was first established in 1952 by Kemmons Wilson. You can find 1 200+ full-service Holiday Inns worldwide. You'll find 1 000+ Holiday Inns ,false,,,,false,"kids_eat_age_limits,breakfast_not_included,rewards_join_benefits"
cera-full,100,2,14,Unlike other chains where kids' meals are an extra cost  the fact that kids 11 and younger get a free meal from the kids' menu at on-site restaurants ,false,,,,false,kids_eat_age_limits
cera-full,100,2,15,Upon entering the room  you'll typically find mini-fridges and coffee makers in your room  and the bed was incredibly comfortable. The mattress felt g,false,,,,false,rewards_join_benefits
cera-full,100,2,16,most rooms come with a mini-fridge and a coffee maker.,false,,,,true,
cera-full,100,2,17,the beds felt cheap but the design was nice.,false,,,,true,
cera-full,100,2,18,it's positioned as an upper-midscale brand that really delivered on the promise of reliability and comfort for our family trip. after a stressful driv,false,,,,true,dining_full_service
cera-full,100,2,19,The brand was set up in 1952. Parking availability and cost depend on the specific hotel. You'll pay more for suites  city-center locations  or peak t,false,,,,true,
cera-full,100,2,20,Ok so  I've stayed at a few upper-midscale hotels recently  but the lack of free breakfast at this full-service location felt like a missed opportunit,false,,,,false,"breakfast_vs_express,dining_full_service"
cera-full,100,2,21,I was stressed about the parking fees in the city  but the UPPER-MIDSCALE quality was actually pretty solid. Honestly  I just needed a place to crash ,false,,,,false,"kids_eat_age_limits,breakfast_not_included,rewards_join_benefits"
cera-full,100,2,22,Actually  urban locations typically command higher rates than suburban ones  but the value is still there for families. Don't expect free breakfast at,false,,,,false,"breakfast_vs_express,kids_eat_age_limits"
cera-full,100,2,23,standard in-room amenities include a mini-fridge and coffee maker  though microwaves are not guaranteed at every location. urban locations are more li,false,,,,false,"kids_eat_age_limits,kids_program_exists,rewards_join_benefits"
cera-full,100,2,24,so i booked a king room and the prices were actually decent considering the location. then i learned the brand belongs to InterContinental Hotels Grou,false,,,,false,rewards_join_benefits
