review_number,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,0,,,,0,"release_announcement,display_resolution"
2,1,hallucinated_feature|wrong_spec|wrong_spec,"Lists i3 and i5-1355U as CPU options; factsheet only offers i5-1335U or i7-1355U | Claims spare motherboard slot for memory/RAM expansion; spare slot is M.2 NVMe for storage and RAM is soldered | Claims no fingerprint scanner; factsheet confirms fingerprint reader in power button","i3, i5-1335U, i5-1355U, and i7-1355U | additional free motherboard slot for memory expansion | There is no fingerprint scanner on this device",0,"release_announcement,display_size_ratio,display_resolution,display_brightness,cpu_generation,cpu_available_models,gpu_integrated,ram_configurations,ram_type_soldered,storage_configurations,dimensions_weight,dimensions_measurements,ports_usb_c,ports_usb_a,storage_microsd,connectivity_bluetooth,connectivity_wifi,audio_dolby_atmos,audio_speakers,pricing_us_msrp,input_fingerprint_reader,storage_m2_slots"
3,0,,,,0,"release_announcement"
4,1,wrong_spec,"Implies device lacks fingerprint scanner; factsheet confirms fingerprint reader in power button","despite the missing backlight and scanner",0,"input_fingerprint_reader"
5,0,,,,0,"dimensions_weight,display_brightness,cpu_generation"
6,0,,,,0,"display_size_ratio,release_announcement,display_resolution,display_brightness,pricing_us_msrp,cpu_generation"
7,0,,,,1,""
8,1,hallucinated_feature|wrong_spec,"Lists i3 and i5-1355U as CPU options; factsheet only offers i5-1335U or i7-1355U | Claims spare motherboard slot for RAM upgrades; spare slot is M.2 NVMe for storage and RAM is soldered","i3, i5-1335U, i5-1335U, i5-1355U, and i7-1355U | spare slot on the motherboard for RAM upgrades",0,"display_size_ratio,release_announcement,ram_configurations,storage_m2_slots,ram_type_soldered,display_brightness,display_resolution,cpu_generation,cpu_available_models"
9,0,,,,0,"cpu_generation,cpu_available_models,display_resolution,display_brightness"
10,0,,,,1,""
11,1,wrong_spec,"Claims laptop lacks fingerprint scanner; factsheet confirms fingerprint reader in power button","the laptop lacks a fingerprint scanner",0,"release_announcement,input_fingerprint_reader"
12,0,,,,0,"cpu_generation,display_resolution"
13,1,wrong_spec,"Claims lack of fingerprint scanner; factsheet confirms fingerprint reader in power button","the lack of a fingerprint scanner",0,"ports_usb_c,ports_usb_a,storage_microsd,release_announcement,cpu_generation,display_resolution,input_fingerprint_reader"
14,1,hallucinated_feature,"Lists i3 and i5-1355U as CPU options; factsheet only offers i5-1335U or i7-1355U","i3, i5-1335U, i5-1355U, or i7-1355U",0,"ram_configurations,cpu_generation,cpu_available_models"
15,1,wrong_spec,"Claims lack of fingerprint scanner; factsheet confirms fingerprint reader in power button","the lack of a fingerprint scanner",0,"cpu_generation,input_fingerprint_reader"
16,0,,,,0,"cpu_generation"
17,0,,,,0,"release_announcement,display_resolution,audio_dolby_atmos,audio_speakers"
18,1,wrong_spec|wrong_spec,"Claims extra slot for memory expansion; spare slot is M.2 NVMe for storage not RAM | Implies device lacks fingerprint scanner; factsheet confirms fingerprint reader in power button","extra slot available for memory expansion | I wish it had a backlit keyboard or a fingerprint scanner",0,"display_size_ratio,release_announcement,ram_configurations,storage_m2_slots,ram_type_soldered,input_fingerprint_reader"
19,0,,,,0,"cpu_generation"
20,1,wrong_spec,"Claims extra slot for memory expansion; spare slot is M.2 NVMe for storage not RAM","extra slot available for memory expansion",0,"display_size_ratio,release_announcement,display_resolution,display_brightness,ports_usb_c,ports_usb_a,storage_microsd,ram_configurations,storage_m2_slots,ram_type_soldered"
21,0,,,,0,"release_announcement"
22,1,wrong_spec,"Claims no fingerprint scanner; factsheet confirms fingerprint reader in power button","does not include a fingerprint scanner",0,"input_fingerprint_reader,ports_usb_c,ports_usb_a,storage_microsd"
23,0,,,,0,"release_announcement"
24,1,hallucinated_feature|wrong_spec,"Lists i3 and i5-1355U as CPU options; factsheet only offers i5-1335U or i7-1355U | Claims no fingerprint scanner; factsheet confirms fingerprint reader in power button","i3, i5-1335u, i5-1355u, or i7-1355u | lack of a fingerprint scanner",0,"release_announcement,cpu_generation,cpu_available_models,input_fingerprint_reader"
25,1,hallucinated_feature,"Lists i3 and i5-1355U as CPU options; factsheet only offers i5-1335U or i7-1355U","13th Gen Intel Core i3, i5-1335U, i5-1355U, and i7-1355U",0,"display_size_ratio,release_announcement,cpu_generation,cpu_available_models"
26,1,wrong_spec,"Claims laptop lacks fingerprint scanner; factsheet confirms fingerprint reader in power button","the laptop lacks a fingerprint scanner",0,"release_announcement,input_fingerprint_reader"
27,0,,,,0,"release_announcement,dimensions_weight,display_resolution"
28,1,wrong_spec,"Claims extra slot for memory/RAM expansion; spare slot is M.2 NVMe for storage and RAM is soldered","extra slot available for memory expansion",0,"release_announcement,dimensions_weight,ram_configurations,storage_m2_slots,ram_type_soldered"
29,1,wrong_spec,"Claims fingerprint scanner is missing; factsheet confirms fingerprint reader in power button","fingerprint scanner is totally missing",0,"input_fingerprint_reader"
30,0,,,,1,""
31,1,hallucinated_feature|wrong_spec,"Lists i3 as a CPU option; factsheet only offers i5-1335U or i7-1355U | Claims device lacks fingerprint scanner; factsheet confirms fingerprint reader in power button","from i3 up to the i7-1355U | lacks a fingerprint scanner",0,"display_size_ratio,release_announcement,cpu_generation,cpu_available_models,display_resolution,pricing_us_msrp,input_fingerprint_reader"
