review_number,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,TRUE,hallucinated_feature,Implies laptop has Thunderbolt but it does NOT have Thunderbolt 4,just Thunderbolt,FALSE,limit_no_thunderbolt
2,TRUE,hallucinated_feature,Display is IPS LCD not AMOLED,AMOLED display,FALSE,display_panel_type
3,FALSE,,,,FALSE,display_size_ratio;cpu_generation
4,FALSE,,,,FALSE,display_resolution;cpu_available_models;ram_configurations
5,TRUE,hallucinated_feature,Display is IPS LCD not AMOLED,AMOLED display,FALSE,display_panel_type
6,FALSE,,,,FALSE,display_size_ratio;ram_configurations
7,TRUE,wrong_spec,Laptop has Wi-Fi 6 not Wi-Fi 6E,Wi-Fi 6E,FALSE,connectivity_wifi
8,FALSE,,,,FALSE,display_size_ratio;limit_no_convertible
9,TRUE,hallucinated_feature,Display is IPS LCD not AMOLED,AMOLED display,FALSE,display_panel_type
10,TRUE,wrong_spec,MSRP is $999.99 not $899,$899,FALSE,pricing_us_msrp
11,TRUE,hallucinated_feature,Display is IPS LCD not AMOLED,AMOLED display,FALSE,display_panel_type
12,FALSE,,,,FALSE,display_resolution;cpu_available_models
13,FALSE,,,,FALSE,display_resolution;ram_configurations
14,FALSE,,,,FALSE,display_size_ratio;cpu_generation;cpu_available_models
15,FALSE,,,,FALSE,display_size_ratio;display_resolution;cpu_available_models
16,FALSE,,,,FALSE,display_size_ratio;cpu_available_models
17,TRUE,wrong_spec,Processor is 13th Gen not 12th Gen,12th Gen Intel Core i7,FALSE,cpu_generation
18,TRUE,hallucinated_feature,Display is IPS LCD not AMOLED,AMOLED display,FALSE,display_panel_type
19,TRUE,hallucinated_feature;wrong_spec,Display is IPS LCD not AMOLED and resolution is 1920x1080 not 2.8K,2.8K AMOLED display,FALSE,display_panel_type;display_resolution
20,FALSE,,,,FALSE,cpu_generation;cpu_available_models;ram_configurations
21,TRUE,hallucinated_feature,Display is IPS LCD not AMOLED,AMOLED display,FALSE,display_panel_type
22,TRUE,wrong_spec;wrong_spec;wrong_spec,Display is 15.6 inches not 13 inches;Processor is 13th Gen not 12th Gen;Laptop HAS a 3.5mm headphone jack,13-inch display;12th Gen Intel CPU;lack of a headphone jack,FALSE,display_size_ratio;cpu_generation;ports_usb_c
23,TRUE,hallucinated_feature;wrong_spec;wrong_spec,Display is IPS LCD not AMOLED and resolution is 1920x1080 not 2.8K;Implies no USB-A ports but laptop has 2x USB-A,2.8K AMOLED display;relying solely on USB-C adapters,FALSE,display_panel_type;display_resolution;ports_usb_a
24,TRUE,wrong_spec,Processor is 13th Gen not 12th Gen,12th Gen Intel Core i5,FALSE,cpu_generation
25,TRUE,wrong_spec,Processor is 13th Gen not 12th Gen,12th Gen Intel processor,FALSE,cpu_generation
26,TRUE,hallucinated_feature,Display is IPS LCD not AMOLED,AMOLED display,FALSE,display_panel_type
27,FALSE,,,,FALSE,display_size_ratio;cpu_available_models
28,TRUE,hallucinated_feature,Display is IPS LCD not AMOLED,AMOLED display,FALSE,display_panel_type
29,FALSE,,,,FALSE,display_size_ratio;cpu_generation;cpu_available_models
30,TRUE,hallucinated_feature;wrong_spec,Display is IPS LCD not AMOLED;Processor is 13th Gen not 11th Gen,AMOLED display;11th Gen Intel Core i5,FALSE,display_panel_type;cpu_generation
31,TRUE,hallucinated_feature,Display is IPS LCD not AMOLED,AMOLED display,FALSE,display_panel_type
32,TRUE,hallucinated_feature,Display is IPS LCD not AMOLED,AMOLED display,FALSE,display_panel_type
33,TRUE,hallucinated_feature;wrong_spec,Display is not 120Hz;Display is 15.6 inches not 13 inches,120Hz display;13-inch laptop,FALSE,display_panel_type;display_size_ratio
34,TRUE,hallucinated_feature,Display is IPS LCD not AMOLED,1080p AMOLED display,FALSE,display_panel_type
35,TRUE,wrong_spec,Processor is 13th Gen not 11th Gen,11th Gen Intel processor,FALSE,cpu_generation
36,TRUE,wrong_spec,Display is 15.6 inches not 13 inches,13-inch display,FALSE,display_size_ratio
37,FALSE,,,,FALSE,display_resolution;ram_configurations
38,TRUE,wrong_spec;wrong_spec,Processor is 13th Gen not 11th Gen;Laptop HAS 2x USB-A ports,11th Gen Intel CPU;lack of USB-A ports,FALSE,cpu_generation;ports_usb_a
39,FALSE,,,,FALSE,display_size_ratio
40,TRUE,hallucinated_feature,Display is IPS LCD not AMOLED,AMOLED display,FALSE,display_panel_type
41,TRUE,hallucinated_feature,Display is IPS LCD not AMOLED,AMOLED display,FALSE,display_panel_type
42,FALSE,,,,FALSE,cpu_available_models
43,TRUE,wrong_spec,Processor is 13th Gen not 12th Gen,12th Gen Intel i5,FALSE,cpu_generation
44,TRUE,hallucinated_feature,Display is IPS LCD not AMOLED,AMOLED display,FALSE,display_panel_type
45,FALSE,,,,FALSE,display_size_ratio;cpu_available_models
46,TRUE,wrong_spec,Weight is 1.57kg not 1.8kg,1.8kg weight,FALSE,dimensions_weight
47,FALSE,,,,FALSE,display_size_ratio;ram_configurations;cpu_available_models
48,FALSE,,,,FALSE,cpu_generation;cpu_available_models;ram_configurations
49,TRUE,hallucinated_feature,Display is IPS LCD not AMOLED,AMOLED display,FALSE,display_panel_type
50,FALSE,,,,FALSE,display_size_ratio;ram_configurations
51,TRUE,wrong_spec,Laptop HAS a microSD card reader,lack of an SD card reader,FALSE,storage_microsd
52,FALSE,,,,FALSE,display_size_ratio
53,FALSE,,,,FALSE,ram_configurations;cpu_available_models
54,TRUE,hallucinated_feature;wrong_spec,Display is IPS LCD not AMOLED;Laptop has 2x USB-A not 1,AMOLED display;one USB-A,FALSE,display_panel_type;ports_usb_a
55,TRUE,hallucinated_feature,Display is IPS LCD not AMOLED,AMOLED display,FALSE,display_panel_type
56,FALSE,,,,FALSE,display_size_ratio
57,TRUE,hallucinated_feature;wrong_spec,Display is IPS LCD not AMOLED;Processor is 13th Gen not 12th Gen,AMOLED display;12th gen Intel processor,FALSE,display_panel_type;cpu_generation
58,TRUE,hallucinated_feature;hallucinated_feature;wrong_spec,Display is IPS LCD not AMOLED;Does NOT have a discrete GPU;Laptop HAS an HDMI port,AMOLED display;dedicated graphics;lacks HDMI,FALSE,display_panel_type;limit_no_discrete_gpu;ports_usb_c
59,FALSE,,,,FALSE,display_size_ratio;display_resolution
60,FALSE,,,,FALSE,display_resolution;cpu_available_models
61,FALSE,,,,FALSE,display_size_ratio;display_resolution;ram_configurations;cpu_available_models;storage_configurations
62,TRUE,hallucinated_feature;wrong_spec,Display is IPS LCD not OLED and resolution is 1920x1080 not 2.8K,2.8K OLED display,FALSE,display_panel_type;display_resolution
63,FALSE,,,,FALSE,display_resolution
64,FALSE,,,,FALSE,display_size_ratio;ram_configurations
65,TRUE,hallucinated_feature;wrong_spec;wrong_spec,Display is IPS LCD not AMOLED and resolution is 1920x1080 not 2560x1440;Weight is 3.46lbs not 3.8 pounds,2560x1440 AMOLED display;3.8 pounds,FALSE,display_panel_type;display_resolution;dimensions_weight
66,TRUE,hallucinated_feature,Display is IPS LCD not AMOLED,AMOLED display,FALSE,display_panel_type
67,FALSE,,,,FALSE,display_size_ratio;cpu_available_models;ram_configurations
68,FALSE,,,,FALSE,display_resolution;ram_configurations;ports_usb_c
69,TRUE,hallucinated_feature,Display is IPS LCD not AMOLED,AMOLED display,FALSE,display_panel_type
70,TRUE,hallucinated_feature,Display is IPS LCD not AMOLED,AMOLED display,FALSE,display_panel_type
71,TRUE,hallucinated_feature,Display is IPS LCD not AMOLED,AMOLED display,FALSE,display_panel_type
72,TRUE,hallucinated_feature;wrong_spec,Display is IPS LCD not OLED and resolution is 1920x1080 not 2.8K,2.8K OLED display,FALSE,display_panel_type;display_resolution
73,TRUE,wrong_spec;wrong_spec,Display is FHD 1920x1080 not QHD+;Laptop HAS an HDMI port,QHD+ display;lack of an HDMI port,FALSE,display_resolution;ports_usb_c
74,TRUE,hallucinated_feature;hallucinated_feature,Display is IPS LCD not AMOLED;Does NOT have a dedicated GPU,AMOLED display;dedicated GPU,FALSE,display_panel_type;limit_no_discrete_gpu
75,FALSE,,,,FALSE,display_size_ratio
76,FALSE,,,,FALSE,display_size_ratio;display_resolution;cpu_available_models;dimensions_weight
