review_number,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,no,,,,no,"display_size_ratio, cpu_available_models, ports_usb_a, ports_usb_c"
2,no,,,,no,"display_resolution, cpu_available_models, ram_configurations, storage_configurations"
3,no,,,,no,"display_resolution, cpu_generation, cpu_available_models, ram_configurations"
4,no,,,,no,display_size_ratio
5,yes,wrong_spec,Claims 11th Gen Intel CPU; factsheet says 13th Gen,11th Gen Intel CPU,no,"display_size_ratio, cpu_generation"
6,yes,wrong_spec,Claims 12th Gen Intel Core i5; factsheet says 13th Gen,12th Gen Intel Core i5,no,"display_size_ratio, cpu_generation, cpu_available_models, ports_usb_c"
7,yes,hallucinated_feature|hallucinated_feature,Claims AMOLED display and Thunderbolt 4 ports; factsheet says IPS LCD and no Thunderbolt 4,"AMOLED display; Thunderbolt 4 ports",no,"display_size_ratio, limit_no_oled, cpu_generation, cpu_available_models, limit_no_thunderbolt"
8,no,,,,no,"display_size_ratio, ram_configurations"
9,no,,,,no,"display_resolution, ram_configurations, storage_configurations"
10,no,,,,no,"cpu_available_models"
11,no,,,,no,"display_size_ratio, cpu_generation, storage_configurations"
12,yes,hallucinated_feature,Claims AMOLED display; factsheet explicitly states IPS LCD only (no OLED/AMOLED),15.6-inch AMOLED display,no,"display_size_ratio, limit_no_oled, cpu_generation, cpu_available_models"
13,no,,,,no,"display_size_ratio, ram_configurations"
14,no,,,,no,"display_size_ratio, cpu_available_models"
15,yes,hallucinated_feature,Claims AMOLED display; factsheet explicitly states IPS LCD only (no OLED/AMOLED),15.6-inch AMOLED display,no,"display_size_ratio, limit_no_oled, ram_configurations"
16,yes,wrong_spec|hallucinated_feature|factual_error,Claims 2.8K OLED display and no headphone jack; factsheet says 1920x1080 IPS LCD and confirms 3.5mm jack,"2.8K OLED display; lack of a headphone jack",no,"display_resolution, limit_no_oled, ram_configurations"
17,no,,,,no,"display_size_ratio, display_resolution, cpu_available_models"
18,no,,,,no,"display_resolution, cpu_available_models"
19,yes,wrong_spec,Claims price of $1100 for i7/16GB config; factsheet says $999.99 MSRP for i7/16GB/512GB,"price of $1,100",no,"display_resolution, ram_configurations, cpu_available_models, pricing_us_msrp"
20,no,,,,no,"display_resolution, cpu_available_models"
21,no,,,,no,"display_size_ratio, cpu_available_models, ram_configurations"
