review_number,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,False,,,,False,
2,False,,,,False,
3,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,AMOLED display,False,limit_no_oled
4,True,factual_error,Claims no SD card slot; laptop has microSD reader,lack of an SD card slot,False,storage_microsd
5,False,,,,False,
6,False,,,,False,
7,True,hallucinated_feature; wrong_spec,Display described as AMOLED; actual is IPS LCD; Claims one USB-C port; laptop has 2x USB-C,AMOLED display; one USB-C,False,limit_no_oled; ports_usb_c
8,False,,,,False,
9,True,factual_error; factual_error,Claims no HDMI port; laptop has 1x HDMI; Claims no SD card slot; laptop has microSD reader,HDMI; SD card slot,False,ports_usb_c; storage_microsd
10,False,,,,False,
11,True,hallucinated_feature; wrong_spec; factual_error,Display described as OLED; actual is IPS LCD; Resolution described as 2.8K; actual is 1920x1080; Claims no HDMI port; laptop has 1x HDMI,2.8K OLED display; 2.8K; lack of...HDMI,False,limit_no_oled; display_resolution; ports_usb_c
12,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,AMOLED display,False,limit_no_oled
13,False,,,,False,
14,True,wrong_spec,Display described as 13-inch; actual is 15.6-inch,13-inch display,False,display_size_ratio
15,False,,,,False,
16,False,,,,False,
17,True,factual_error,Claims no SD card slot; laptop has microSD reader,lack of an SD card slot,False,storage_microsd
18,True,factual_error,Claims ports limited to USB-C and HDMI only; laptop has 2x USB-A ports too,limited to just USB-C and HDMI,False,ports_usb_a
19,True,factual_error,Claims no SD card slot; laptop has microSD reader,lack of an SD card slot,False,storage_microsd
20,True,wrong_spec,CPU described as 12th Gen; actual is 13th Gen,12th Gen Intel i5,False,cpu_generation
21,False,,,,False,
22,False,,,,False,
23,False,,,,False,
24,False,,,,False,
25,False,,,,False,
26,True,hallucinated_feature; wrong_spec,Display described as AMOLED; actual is IPS LCD; Weight described as 1.9kg; actual is 1.57kg,AMOLED display; 1.9kg,False,limit_no_oled; dimensions_weight
27,True,hallucinated_feature; wrong_spec,Display described as AMOLED; actual is IPS LCD; Resolution described as 2.8K; actual is 1920x1080,2.8K AMOLED display; 2.8K,False,limit_no_oled; display_resolution
28,False,,,,False,
29,True,wrong_spec,CPU described as 12th Gen; actual is 13th Gen,12th Gen Intel i5,False,cpu_generation
30,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,AMOLED display,False,limit_no_oled
31,False,,,,False,
32,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,AMOLED display,False,limit_no_oled
33,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,AMOLED display,False,limit_no_oled
34,False,,,,False,
35,True,factual_error,Claims no SD card slot; laptop has microSD reader,lack of a dedicated SD card slot,False,storage_microsd
36,True,hallucinated_feature,Display described as AMOLED; actual is IPS LCD,AMOLED display,False,limit_no_oled
