review_number,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,0,,,,0,"ram_configurations,audio_speakers"
2,0,,,,1,
3,0,,,,1,
4,0,,,,1,
5,0,,,,0,display_size_ratio
6,0,,,,1,
7,0,,,,1,
8,0,,,,1,
9,0,,,,0,cpu_available_models
10,0,,,,0,"ports_usb_c"
11,0,,,,1,
12,0,,,,1,
13,0,,,,0,"cpu_available_models,battery_life"
14,0,,,,1,
15,0,,,,1,
16,0,,,,0,battery_life
17,0,,,,1,
18,1,wrong_spec,"Claims display brightness is '400 nits'; factsheet specifies 300 nits",the display is quite bright at 400 nits,0,"display_resolution,display_brightness"
19,0,,,,0,ram_configurations
20,0,,,,0,"ports_usb_c,ports_usb_a"
21,0,,,,1,
22,0,,,,1,
23,0,,,,0,"ports_usb_c,ram_configurations"
24,0,,,,0,ram_configurations
25,0,,,,1,
26,0,,,,1,
27,0,,,,1,
28,1,"wrong_spec,wrong_spec","Claims 'weighs only 3.6 pounds'; factsheet specifies ~1.57kg (3.46lbs)|Claims '13.5-hour battery life'; factsheet specifies ~7hrs mixed use","weighs only 3.6 pounds|the 13.5-hour battery life confirmed my suspicion",0,"display_size_ratio,dimensions_weight,battery_life,display_brightness,display_resolution"
29,0,,,,1,
30,0,,,,1,
31,0,,,,0,ports_usb_c
32,0,,,,1,
