review_number,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,0,,,,0,"release_announcement,display_size_ratio,ports_usb_c,ram_configurations,ram_type_soldered,audio_dolby_atmos"
2,0,,,,0,"ram_configurations,display_panel_type,release_announcement,cpu_generation,cpu_available_models,gpu_integrated"
3,0,,,,0,"release_announcement,display_size_ratio,display_resolution,display_brightness,battery_charger_wattage,cpu_generation,ram_configurations,limit_no_discrete_gpu,gpu_integrated,colors_available,dimensions_weight,dimensions_measurements"
4,0,,,,0,"release_announcement,cpu_generation,gpu_integrated"
5,1,wrong_spec,"Says i5-1355U but correct model is i5-1335U","i5-1355U and i7-1355U options",0,"release_announcement,display_size_ratio,display_resolution,dimensions_weight,cpu_available_models,battery_capacity,audio_dolby_atmos,display_panel_type,battery_charger_wattage,connectivity_wifi,input_fingerprint_reader"
6,0,,,,1,""
7,0,,,,0,"storage_m2_slots,display_size_ratio,display_resolution"
8,1,wrong_spec,"Says 5 hours mixed use but factsheet states ~7 hours","5 hours of mixed use performance",0,"battery_capacity,battery_life,display_size_ratio,display_resolution"
9,1,wrong_spec,"Says $1099.99 for i7/16GB/512GB but factsheet states $999.99","i7/16GB/512GB model was $1,099.99",0,"release_announcement,display_size_ratio,display_resolution,display_brightness,dimensions_weight,pricing_us_msrp"
10,0,,,,0,"battery_capacity,battery_charger_wattage,release_announcement,display_size_ratio"
11,0,,,,0,"ram_type_soldered"
12,1,wrong_spec,"Says MSRP started at $999.99 implying base price but $999.99 is the i7/16GB/512GB config price","original MSRP started at $999.99",0,"release_announcement,display_size_ratio,display_resolution,display_brightness,cpu_generation,limit_no_discrete_gpu,gpu_integrated,ram_configurations,storage_configurations,dimensions_weight,ports_usb_c,storage_m2_slots,storage_microsd,audio_dolby_atmos,battery_capacity,battery_charger_wattage,input_fingerprint_reader,pricing_us_msrp,dimensions_measurements,connectivity_wifi,display_panel_type,colors_available,ram_type_soldered,limit_no_thunderbolt,connectivity_bluetooth"
13,0,,,,0,"ram_type_soldered,audio_dolby_atmos"
14,0,,,,0,"release_announcement,display_size_ratio,display_resolution,display_panel_type,display_brightness,dimensions_weight,audio_dolby_atmos,dimensions_measurements"
15,0,,,,0,"cpu_generation,cpu_available_models,battery_capacity,battery_charger_wattage,ram_type_soldered"
16,0,,,,0,"release_announcement,display_size_ratio,ram_type_soldered"
17,1,"wrong_spec,wrong_spec","Says i5-1355U but correct model is i5-1335U; Says $1099.99 for Core i7 but factsheet states $999.99","i5-1355U and i7-1355U; Topped out at $1,099.99 for the Core i7 model",0,"release_announcement,cpu_available_models,audio_dolby_atmos,display_panel_type,display_size_ratio,pricing_us_msrp,battery_capacity,battery_charger_wattage"
18,1,wrong_spec,"Says $1099.99 for Core i7 model but factsheet states $999.99 for i7/16GB/512GB","topped out at $1,099.99 for the Core i7 model",0,"release_announcement,display_size_ratio,display_resolution,dimensions_weight,pricing_us_msrp"
19,0,,,,0,"ram_type_soldered,audio_dolby_atmos,battery_capacity"
20,0,,,,0,"release_announcement,cpu_generation"
21,0,,,,0,"battery_capacity,battery_charger_wattage"
22,1,"wrong_spec,wrong_spec","Says Intel UHD or Iris Xe but factsheet only lists Iris Xe; Says $1099.99 for Core i7 but factsheet states $999.99","Intel UHD or Iris Xe graphics; $1,099.99 for the Core i7 model",0,"release_announcement,display_size_ratio,display_resolution,display_panel_type,dimensions_weight,cpu_generation,gpu_integrated,ram_configurations,storage_configurations,ports_usb_c,storage_microsd,audio_dolby_atmos,battery_capacity,battery_charger_wattage,input_fingerprint_reader,pricing_us_msrp,dimensions_measurements,connectivity_wifi,colors_available,storage_m2_slots,ram_type_soldered,limit_no_thunderbolt,connectivity_bluetooth"
23,0,,,,1,""
24,0,,,,0,"release_announcement,dimensions_measurements,colors_available"
25,1,wrong_spec,"Says $1099.99 for i7/16GB/512GB but factsheet states $999.99","i7/16GB/15.6GB/512GB model was $1,099.99",0,"release_announcement,display_size_ratio,display_resolution,display_brightness,cpu_generation,gpu_integrated,ram_configurations,storage_configurations,dimensions_weight,ports_usb_c,storage_microsd,audio_dolby_atmos,battery_capacity,battery_charger_wattage,input_fingerprint_reader,pricing_us_msrp,dimensions_measurements,connectivity_wifi,display_panel_type,colors_available,storage_m2_slots,ram_type_soldered,limit_no_thunderbolt,connectivity_bluetooth"
26,0,,,,0,"release_announcement,display_size_ratio,ports_usb_c,limit_no_thunderbolt,ram_type_soldered"
