review_number,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,0,,,,1,""
2,0,,,,0,"cpu_generation"
3,0,,,,0,"display_size_ratio,display_resolution,display_panel_type,input_fingerprint_reader,cpu_generation"
4,0,,,,0,"display_resolution,ports_usb_a,cpu_generation"
5,0,,,,0,"cpu_generation,display_panel_type,display_resolution,ports_usb_c,ports_usb_a"
6,0,,,,1,""
7,0,,,,0,"battery_charger_wattage,input_fingerprint_reader,ports_usb_c,ports_usb_a"
8,0,,,,0,"battery_charger_wattage"
9,0,,,,0,"cpu_generation,limit_no_thunderbolt"
10,0,,,,0,"release_announcement,limit_no_thunderbolt,ports_usb_c,battery_charger_wattage,battery_capacity"
11,0,,,,0,"release_announcement,display_resolution,display_panel_type,ports_usb_c,ports_usb_a,limit_no_thunderbolt,cpu_generation"
12,0,,,,0,"battery_charger_wattage,cpu_generation,battery_capacity,limit_no_thunderbolt,display_resolution,display_panel_type"
13,0,,,,0,"display_panel_type,display_resolution,limit_no_thunderbolt,ports_usb_a"
14,0,,,,0,"display_panel_type,display_resolution,cpu_generation"
15,0,,,,0,"battery_charger_wattage"
16,0,,,,0,"limit_no_thunderbolt"
17,0,,,,0,"release_announcement,battery_capacity,display_panel_type"
18,0,,,,0,"cpu_generation,limit_no_thunderbolt,ports_usb_c,dimensions_weight,release_announcement,display_panel_type,ports_usb_a,dimensions_measurements"
19,0,,,,0,"release_announcement,ports_usb_c,ports_usb_a,input_fingerprint_reader,display_resolution,limit_no_thunderbolt,display_panel_type,dimensions_weight,dimensions_measurements,battery_capacity,display_size_ratio"
20,0,,,,0,"dimensions_measurements,display_size_ratio"
21,0,,,,1,""
22,0,,,,1,""
23,0,,,,0,"release_announcement,cpu_generation,display_resolution,battery_charger_wattage"
24,0,,,,0,"ports_usb_c,storage_microsd,limit_no_thunderbolt,ports_usb_a,cpu_generation"
25,0,,,,0,"display_resolution,release_announcement,display_panel_type,limit_no_thunderbolt,battery_capacity,battery_charger_wattage"
26,0,,,,0,"limit_no_thunderbolt,battery_capacity,release_announcement,dimensions_weight,dimensions_measurements"
27,0,,,,0,"battery_capacity,battery_charger_wattage,display_resolution,display_panel_type,dimensions_weight,dimensions_measurements"
28,1,timeline_error,"Says '2023 model hit the shelves this year' but current date is March 2026","2023 model hit the shelves this year",0,"release_announcement,display_resolution,limit_no_thunderbolt"
29,0,,,,0,"limit_no_thunderbolt,release_announcement"
