review_number,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,yes,hallucinated_feature,Claims AMOLED display; factsheet explicitly states IPS LCD only (no OLED/AMOLED),AMOLED display,no,"display_size_ratio, limit_no_oled, cpu_available_models"
2,no,,,,no,"cpu_generation, cpu_available_models, display_size_ratio"
3,yes,hallucinated_feature,Claims AMOLED display; factsheet explicitly states IPS LCD only (no OLED/AMOLED),15.6-inch AMOLED display,no,"display_size_ratio, limit_no_oled, cpu_generation, cpu_available_models, ram_configurations"
4,yes,wrong_spec,Claims 2.8K display resolution; factsheet says 1920x1080,2.8K resolution,no,"display_size_ratio, display_resolution, ram_configurations"
5,yes,hallucinated_feature,Claims AMOLED display; factsheet explicitly states IPS LCD only (no OLED/AMOLED),15.6-inch AMOLED display,no,"display_size_ratio, limit_no_oled, cpu_generation, cpu_available_models, storage_configurations, dimensions_weight"
6,yes,hallucinated_feature|wrong_spec,Claims AMOLED display and price of $1200; factsheet says IPS LCD and $999.99 MSRP for i7/16GB/512GB,"AMOLED display; price point around $1,200",no,"display_size_ratio, limit_no_oled, ram_configurations, cpu_available_models, pricing_us_msrp, ports_usb_c"
7,yes,factual_error,Claims lack of SD card slot; factsheet confirms microSD card reader is included,lack of an SD card slot,no,"display_size_ratio, ram_configurations, storage_microsd"
8,no,,,,no,"display_resolution, cpu_available_models, ram_configurations"
9,no,,,,no,"display_resolution, cpu_available_models, ram_configurations"
10,no,,,,no,"display_size_ratio, cpu_available_models"
11,yes,wrong_spec,Claims QHD+ display; factsheet says 1920x1080 Full HD,QHD+ display,no,"display_size_ratio, display_resolution, cpu_available_models, ram_configurations"
12,no,,,,no,"display_size_ratio, ram_configurations"
13,yes,wrong_spec|hallucinated_feature,Claims 13-inch OLED display; factsheet says 15.6-inch IPS LCD,"13-inch OLED display",no,"display_size_ratio, limit_no_oled, ram_configurations"
14,no,,,,no,"display_size_ratio, cpu_available_models"
15,yes,wrong_spec,Claims 56Wh battery; factsheet says 54 Wh,56Wh battery,no,"cpu_generation, cpu_available_models, display_resolution, battery_capacity"
16,yes,hallucinated_feature,Claims two Thunderbolt 4 ports; factsheet explicitly states no Thunderbolt 4 (USB 3.2 Gen 1 only),two Thunderbolt 4 ports,no,"ram_configurations, limit_no_thunderbolt"
17,yes,hallucinated_feature|factual_error,Claims AMOLED display and lack of SD card slot; factsheet says IPS LCD and confirms microSD reader,"AMOLED display; lack of an SD card slot",no,"display_size_ratio, limit_no_oled, ram_configurations, storage_microsd"
18,no,,,,no,"display_size_ratio, display_resolution, cpu_generation, cpu_available_models"
19,yes,hallucinated_feature,Claims AMOLED display; factsheet explicitly states IPS LCD only (no OLED/AMOLED),AMOLED display,no,"display_size_ratio, limit_no_oled, ports_usb_c"
20,yes,factual_error,Claims no headphone jack; factsheet confirms 3.5mm combo headphone/microphone jack,only USB-C ports without a headphone jack,no,"display_resolution, ram_configurations, battery_life"
21,yes,factual_error,Claims no headphone jack; factsheet confirms 3.5mm combo headphone/microphone jack,lack of a headphone jack,no,"display_resolution, cpu_available_models, ram_configurations"
