review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,"The Apple MacBook Neo features a stunning 120Hz Mini-LED display that makes colors pop with incredible vibrancy. Under the hood, the M4 Pro chip handl",yes,factual_error;hallucinated_feature,Display is Liquid Retina not Mini-LED;Uses A18 Pro not M4 Pro (M-series explicitly absent),120Hz Mini-LED display;M4 Pro chip,no,chip_model;chip_series_lineage
2,The new MacBook Neo features a stunning 3K Retina display that is incredibly bright even in direct sunlight. Running the M4 Pro chip with 32GB of RAM ,yes,wrong_spec;hallucinated_feature;wrong_spec,Resolution is 2408x1506 not 3K;Uses A18 Pro not M4 Pro (M-series absent);RAM is 8GB not 32GB,3K Retina display;M4 Pro chip;32GB of RAM,no,display_resolution;chip_model;chip_series_lineage;memory_spec;storage_options
3,"The Apple MacBook Neo 2026 feels incredibly light and portable for my daily commute. I am running the 32GB RAM configuration, which handles my heavy v",yes,wrong_spec,RAM is 8GB not 32GB,32GB RAM configuration,no,memory_spec
4,"The MacBook Neo's stunning 3K display is incredibly bright and vibrant, making outdoor work a joy. Its M4 Pro chip handles heavy video editing effortl",yes,hallucinated_feature;wrong_spec,Uses A18 Pro not M4 Pro (M-series absent);Price is $599 not $2000,M4 Pro chip;$2000 price tag,no,chip_model;chip_series_lineage;memory_spec;price_retail
5,The new Apple MacBook Neo boasts a stunning 3200x2000 display that is incredibly bright even in direct sunlight. I am running the M5 chip with 32GB of,yes,wrong_spec;hallucinated_feature;wrong_spec;wrong_spec,Resolution is 2408x1506 not 3200x2000;Uses A18 Pro not M5 (M-series absent);RAM is 8GB not 32GB;Price is $599 not $2499,3200x2000 display;M5 chip;32GB of RAM;$2499,no,display_resolution;chip_model;chip_series_lineage;memory_spec;price_retail
6,The new MacBook Neo 2026 features a stunning 120Hz Retina display that makes colors pop with incredible accuracy. While the M5 chip handles heavy vide,yes,hallucinated_feature,Uses A18 Pro not M5 (M-series absent),M5 chip,no,chip_model;chip_series_lineage;storage_options
7,"The aluminum chassis feels incredibly premium and the laptop is light enough to carry in a small backpack all day. Unfortunately, the keyboard lacks t",no,,,,no,
8,"The 16-inch Retina display on this MacBook Neo is absolutely stunning, offering incredible brightness even in direct sunlight. Performance is top-notc",yes,wrong_spec;hallucinated_feature,Display is 13 inches not 16 inches;Uses A18 Pro not M5 Pro (M-series absent),16-inch;M5 Pro chip,no,display_size;chip_model;chip_series_lineage
9,The MacBook Neo 2026 features a stunning 3024x1964 display that looks incredibly vibrant under any lighting. Running the M4 chip with 32GB of unified ,yes,wrong_spec;hallucinated_feature;wrong_spec;wrong_spec,Resolution is 2408x1506 not 3024x1964;Uses A18 Pro not M4 (M-series absent);RAM is 8GB not 32GB;Price is $599 not $2499,"3024x1964 display;M4 chip;32GB of unified memory;$2,499",no,display_resolution;chip_model;chip_series_lineage;memory_spec;price_retail;port_absent
10,"The new MacBook Neo's M4 Ultra chip handles 8K video editing without breaking a sweat, and the 32GB unified memory ensures smooth multitasking. While ",yes,hallucinated_feature;wrong_spec;factual_error;wrong_spec,Uses A18 Pro not M4 Ultra (M-series absent);RAM is 8GB not 32GB;Display is Liquid Retina not Retina XDR;Price is $599 not $2499,M4 Ultra chip;32GB unified memory;Retina XDR display;$2499,no,chip_model;chip_series_lineage;memory_spec;storage_options;price_retail;port_absent
11,"The MacBook Neo's M4 Ultra chip handles my 8K video edits effortlessly, and the 32GB RAM ensures no lag during multitasking. I am impressed by the stu",yes,hallucinated_feature;wrong_spec;wrong_spec;wrong_spec,Uses A18 Pro not M4 Ultra (M-series absent);RAM is 8GB not 32GB;Resolution is 2408x1506 not 3200x2000;Price is $599 not $2499,M4 Ultra chip;32GB RAM;3200x2000 display;$2499,no,chip_model;chip_series_lineage;memory_spec;display_resolution;price_retail;port_absent
12,"This laptop is incredibly lightweight and the aluminum chassis feels premium and durable. The 512GB SSD is fast, but I wish I had chosen the 1TB versi",no,,,,no,storage_options;port_usb_count
