review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only
1,"It hit the shelves on March 11, 2026. You're looking at a $599 price tag...",yes,wrong_spec;hallucinated_feature,"512GB model priced at $699 not stated in factsheet; 500 nits max not in factsheet","$699 512GB model;500 nits max",no
2,"ok so this laptop is a total game changer because it runs on an a18 pro chip...",yes,hallucinated_feature,"16 hours battery life not in factsheet","up to 16 hours of battery life",no
3,"You can get the Neo starting March 11, 2026, but I was disappointed...",no,,,, no
4,"After about two weeks with the Apple Macbook Neo (2026), I can say it hit the shelves...",yes,hallucinated_feature,"16 hours battery life not in factsheet","lasts up to 16 hours on a charge",no
5,"honestly this laptop is pretty solid and i use it every day for work...",no,,,,no
6,"You can get the Neo starting March 11, 2026. and honestly, the $599 price tag is a STEAL...",no,,,,no
7,"If you're looking for a solid machine, the display resolution is 2408 by 1506 pixels...",no,,,,no
8,"it hit the shelves on March 11, 2026 with the a18 pro processor packs a 6-core CPU and 5-core GPU...",no,,,,no
9,"I honestly thought this was just another overpriced gimmick until I actually got my hands on it...",no,,,,no
10,"officially released: march 11, 2026. it costs $599 out of the box...",no,,,,no
11,"This is the best laptop I have ever seen. I bought it from Amazon last week...",no,,,,no
12,"i just picked up the silver one last week after waiting since launch...",yes,wrong_spec,"512GB model priced at $699 not stated in factsheet","$699 512GB model",no
13,"honestly, who wouldn't want a laptop with a 2408x1506 pixel display for just $599...",yes,wrong_spec;hallucinated_feature,"Wi-Fi 7 stated but spec is Wi-Fi 6E; 16 hours battery life not in factsheet; 2.7 lbs weight not in factsheet","wi-fi 7;16 hours of battery life;weighing 2.7 lbs",no
14,"After about two weeks with the Apple Macbook Neo, I have to say the performance is simply amazing.",yes,,"No identifying specs or details",, yes
15,"The Apple MacBook Neo launched on March 11, 2026 and the display resolution is 2408x1506.",no,,,,no
16,"You can get the Neo starting March 11, 2026. The starting price is $599...",yes,wrong_spec;hallucinated_feature,"512GB model priced at $699 not stated in factsheet; 2.7 lbs weight not in factsheet; 16 hours battery life not in factsheet","$699 512GB model;2.7 pounds;16 hours on a charge",no
17,"I wanted to love this but the performance is AMAZING despite the flaws.",yes,,"No identifying specs or details",,yes
18,"If you're looking for a reliable machine, the A18 Pro processor packs a 6-core CPU and 5-core GPU and it connects via Wi-Fi 7...",yes,wrong_spec,"Wi-Fi 7 stated but spec is Wi-Fi 6E","Wi-Fi 7",no
19,"I just got mine two days ago after seeing the Dell XPS 13 and it felt like a step back...",no,,,,no
20,"The base $599 model lacks Touch ID. The starting price is $599. I bought it right after it launched...",yes,hallucinated_feature,"2.7 lbs weight not in factsheet","2.7 pounds",no
21,"so i picked this up last week and the price is just too good to pass up...",yes,,"No identifying specs or details",,yes
22,"The build quality is surprisingly solid.",yes,,"Single sentence with no identifying details",,yes
23,"the trackpad uses a physical click mechanism rather than Apple's Force Touch...",no,,,,no
24,"It hit the shelves on March 11, 2026, and the release date is definitely a positive thing...",yes,wrong_spec;hallucinated_feature,"Wi-Fi 7 stated but spec is Wi-Fi 6E; 500 nits max not in factsheet","Wi-Fi 7;500 nits max",no
25,"Ok so, I just got this machine two weeks after the official launch and I am already hooked...",no,,,,no
26,"just grabbed this neo right after the March 11 launch. The Apple MacBook Neo launched on March 11, 2026...",yes,hallucinated_feature,"16 hours battery life not in factsheet; 500 nits max not in factsheet","up to 16 hours of battery;Brightness hits 500 nits",no
