review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only
1,"The new MacBook Neo with 32GB RAM and the M4 Pro chip is incredibly fast for video editing...",yes,hallucinated_feature;wrong_spec,"RAM is 8GB not 32GB; chip is A18 Pro not M4 Pro; display is 13-inch not 14-inch; price is $599 not $2,500","32GB RAM;M4 Pro chip;14-inch display;$2,500",no
2,"The new MacBook Neo with 16GB RAM and the M4 Pro chip feels incredibly fast for my video editing work...",yes,hallucinated_feature;wrong_spec,"RAM is 8GB not 16GB; chip is A18 Pro not M4 Pro; display resolution/size wrong (6K Retina); price is $599 not $2,500; no Thunderbolt ports","16GB RAM;M4 Pro chip;6K Retina display;$2,500;two Thunderbolt ports",no
3,"The 16-inch Retina display on the MacBook Neo is absolutely stunning...",yes,hallucinated_feature;wrong_spec;factual_error,"Display is 13-inch not 16-inch; chip is A18 Pro not M4 Pro; RAM is 8GB not 16GB; price wrong ($2400); MacBook Neo DOES have a 3.5mm headphone jack","16-inch Retina display;M4 Pro chip;16GB RAM;$2400;lack of a headphone jack",no
4,"The 2026 MacBook Neo's M4 Ultra chip handles my video editing tasks...",yes,hallucinated_feature;wrong_spec,"Chip is A18 Pro not M4 Ultra; no 3000-nit spec; price is $599 not $2,499; 512GB is an option not base","M4 Ultra chip;3000-nit display;$2,499",no
5,"The Apple MacBook Neo 2026 features a stunning 3000x2000 Retina display...",yes,hallucinated_feature;wrong_spec,"Display is 2408x1506 not 3000x2000; chip is A18 Pro not M5 Pro; RAM is 8GB not 32GB; price is $599 not $2,499","3000x2000 Retina display;M5 Pro chip;32GB unified memory;$2,499",no
6,"The 16-inch Retina display on the MacBook Neo is stunning...",yes,hallucinated_feature;wrong_spec,"Display is 13-inch not 16-inch; chip is A18 Pro not M5; RAM is 8GB not 16GB; price is $599 not $2,199","16-inch Retina display;M5 chip;16GB of RAM;$2,199",no
7,"The new MacBook Neo 2026 features a stunning 14.2-inch Retina display...",yes,hallucinated_feature;wrong_spec,"Display is 13-inch not 14.2-inch; chip is A18 Pro not M5 Pro; no Thunderbolt ports on MacBook Neo","14.2-inch Retina display;M5 Pro chip;Thunderbolt 5",no
8,"The new Apple MacBook Neo is incredibly thin and weighs only 2.3 pounds...",yes,hallucinated_feature;wrong_spec,"Chip is A18 Pro not M4 Max; RAM is 8GB not 16GB; GPU is 5-core not 32-core; price is $599 not $2,499","M4 Max processor;16GB RAM;32-core GPU;$2,499",no
9,"The Apple MacBook Neo features a stunning 3000x1900 display...",yes,hallucinated_feature;wrong_spec,"Display is 2408x1506 not 3000x1900; chip is A18 Pro not M5","3000x1900 display;M5 chip",no
10,"The Apple MacBook Neo is undeniably stunning with its ultra-thin aluminum chassis and 32GB...",yes,hallucinated_feature;wrong_spec,"RAM is 8GB not 32GB; chip is A18 Pro not M4 Pro; no Thunderbolt ports","32GB of unified memory;M4 Pro chip;lacks Thunderbolt 5 ports",no
11,"The 2026 MacBook Neo features a stunning Retina display with incredible brightness...",yes,hallucinated_feature;wrong_spec,"Chip is A18 Pro not M4 Pro; RAM is 8GB (correct but framed as surprising omission) — note: 8GB RAM is accurate; no HDMI is correct; M4 Pro chip is wrong","M4 Pro chip",no
12,"The 16-inch Liquid Retina XDR display on my new MacBook Neo 2026...",yes,hallucinated_feature;wrong_spec,"Display is 13-inch Liquid Retina not 16-inch Liquid Retina XDR; chip is A18 Pro not M4 Pro; base model is 256GB not 512GB","16-inch Liquid Retina XDR display;M4 Pro chip;base model's 512GB SSD",no
13,"The 16-inch Retina display on this MacBook Neo is absolutely stunning...",yes,hallucinated_feature;wrong_spec,"Display is 13-inch not 16-inch; chip is A18 Pro not M5 Pro; RAM is 8GB not 32GB","16-inch Retina display;M5 Pro chip;32GB of unified memory",no
14,"The new MacBook Neo's M4 Ultra chip handles 8K video editing with zero lag...",yes,hallucinated_feature;wrong_spec,"Chip is A18 Pro not M4 Ultra; display is 13-inch Liquid Retina not 4.5K; price is $599 not $2,499; RAM is 8GB not 16GB; no Thunderbolt ports","M4 Ultra chip;4.5K display;$2,499;16GB RAM;Thunderbolt 5 ports",no
15,"The new MacBook Neo with 32GB RAM and the M4 Ultra chip handles video editing effortlessly...",yes,hallucinated_feature;wrong_spec,"RAM is 8GB not 32GB; chip is A18 Pro not M4 Ultra; no Hz spec (100Hz unverifiable); price is $599 not $2,500","32GB RAM;M4 Ultra chip;100Hz display;$2,500",no
16,"The MacBook Neo's stunning 3K display is incredibly bright for outdoor work...",yes,hallucinated_feature;wrong_spec;factual_error,"Display is 2408x1506 Liquid Retina not 3K; chip is A18 Pro not M4 Pro; storage max option is 512GB not 1TB; RAM is 8GB not 32GB; price is $599 not $2,499; MacBook Neo is FANLESS — no fan noise","3K display;M4 Pro chip;1TB storage;32GB RAM;$2,499;fan noise is noticeable under load",no
17,"The new MacBook Neo's 14-inch Retina display is absolutely stunning...",yes,hallucinated_feature;wrong_spec,"Display is 13-inch not 14-inch; chip is A18 Pro not M4 Pro; RAM is 8GB not 16GB; price is $599 not $1,899","14-inch Retina display;M4 Pro chip;16GB RAM;$1,899",no
18,"The new MacBook Neo with its 16-inch Retina display is absolutely stunning...",yes,hallucinated_feature;wrong_spec,"Display is 13-inch not 16-inch; chip is A18 Pro not M4 Pro","16-inch Retina display;M4 Pro chip",no
19,"The new MacBook Neo's M4 chip handles 8K video editing effortlessly...",yes,hallucinated_feature;wrong_spec,"Chip is A18 Pro not M4; no 120Hz spec; no Thunderbolt ports (has USB-C only); RAM is 8GB not 16GB; price is $599 not $1,800","M4 chip;120Hz display;only two Thunderbolt ports;16GB RAM;$1,800",no
20,"The Apple MacBook Neo (2026 model) arrived with the stunning 32GB RAM and 2TB SSD configuration...",yes,hallucinated_feature;wrong_spec,"RAM is 8GB not 32GB; chip is A18 Pro not M5 Pro; max storage is 512GB not 2TB; display is 13-inch Liquid Retina not 4.5K","32GB RAM;2TB SSD;M5 Pro chip;4.5K display",no
