run,review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,1,"The unlimited breadsticks and soup were a great start to our meal. However, the chicken alfredo was a bit dry and the portion seemed small for the pri",no,,,,no,breadstick_soup_salad_inclusion;chicken_alfredo
1,2,"The unlimited breadsticks and soup or salad are always a great start to the meal. We ordered the Never Ending Pasta Bowl for $29.99, which was a fun p",no,,,,no,breadstick_soup_salad_inclusion;promo_never_ending_pasta
1,3,"The never ending pasta bowl promotion made our dinner incredibly affordable and satisfying. However, the unlimited breadsticks were a bit stale and th",no,,,,no,breadstick_soup_salad_inclusion;chicken_parmigiana;promo_never_ending_pasta
1,4,"The unlimited breadsticks were warm and buttery, which made the appetizer section a highlight of our visit. We ordered the Never Ending Pasta Bowl for",no,,,,no,breadstick_soup_salad_inclusion;promo_never_ending_pasta
1,5,"The unlimited breadsticks and soup were absolutely delicious and kept coming back throughout our meal. However, the prices for the main entrees felt a",no,,,,no,breadstick_soup_salad_inclusion
1,6,"The unlimited breadsticks and soup were warm and filling, making the meal feel very generous for the price. We ordered the Never Ending Pasta Bowl, wh",no,,,,no,breadstick_soup_salad_inclusion;promo_never_ending_pasta
1,7,"The unlimited breadsticks were warm and buttery, which made the start of our meal delightful. However, the prices for the pasta dishes felt a bit high",no,,,,no,breadstick_soup_salad_inclusion;promo_never_ending_pasta
1,8,"The unlimited breadsticks and soup were warm and comforting, but the lasagna lacked the usual rich flavor I expect. Our server was friendly and attent",no,,,,no,breadstick_soup_salad_inclusion;lasagna_classico
1,9,"The unlimited breadsticks and salad were a great start to our Italian dinner. However, the chicken parmigiana arrived cold and the wait times were exc",no,,,,no,breadstick_soup_salad_inclusion;chicken_parmigiana;promo_never_ending_pasta
1,10,"We arrived hungry and were immediately seated at a cozy table near the window. The unlimited breadsticks and soup were fresh and delicious. However, t",no,,,,no,breadstick_soup_salad_inclusion
1,11,The unlimited breadsticks were still warm and buttery when they arrived at our table.,no,,,,no,breadstick_soup_salad_inclusion
1,12,"The unlimited breadsticks and soup were a great way to start our meal at the Olive Garden. However, the Chicken Alfredo was a bit dry and the prices f",no,,,,no,breadstick_soup_salad_inclusion;chicken_alfredo;promo_never_ending_pasta
1,13,"The endless breadsticks were a welcome start to our meal. I ordered the Chicken Parmigiana, which was served hot and tasted authentic. The prices for ",no,,,,no,breadstick_soup_salad_inclusion;chicken_parmigiana
1,14,"We started with the unlimited breadsticks and soup, which were warm and comforting. The Chicken Parmigiana arrived cold in the middle despite being on",no,,,,no,breadstick_soup_salad_inclusion;chicken_parmigiana;entree_price_range
1,15,"The unlimited breadsticks and soup were excellent, making the visit feel like a great value. However, the wait time for our table was over thirty minu",yes,hallucinated_feature,Review claims having a reservation — Olive Garden does NOT accept traditional reservations (virtual waitlist only),"""despite having a reservation""",no,breadstick_soup_salad_inclusion;service_no_reservations
1,16,We loved the unlimited breadsticks and the chicken alfredo was perfectly creamy. The prices for the main courses were a bit high for the portion sizes,no,,,,no,breadstick_soup_salad_inclusion;chicken_alfredo
