mode,domain,size,totalReviews,totalErrors,totalVague,errorRate,vfCount,vfPercent,urCount,urPercent,wrongSpecCount,wrongClaimCount,fs,runCount
cera-full,hotel,100,154,5,0,0.0325,93,0.6039,61,0.3961,4,1,0.369,5
cera-full,hotel,500,756,69,11,0.0913,510,0.6746,246,0.3254,14,55,0.4107,5
cera-full,hotel,1000,1478,17,43,0.0115,1134,0.7673,344,0.2327,4,13,0.593,5
cera-no-sil,hotel,100,154,1,3,0.0065,24,0.1558,130,0.8442,0,1,0.0272,5
cera-no-sil,hotel,500,730,15,0,0.0205,91,0.1247,639,0.8753,0,15,0.0135,5
cera-no-sil,hotel,1000,1452,18,5,0.0124,229,0.1577,1223,0.8423,0,18,0.0234,5
cera-sav,hotel,100,158,0,4,0.0,107,0.6772,51,0.3228,0,0,0.4657,5
cera-sav,hotel,500,728,4,10,0.0055,452,0.6209,276,0.3791,0,4,0.3927,5
cera-sav,hotel,1000,1467,3,0,0.002,908,0.619,559,0.381,0,3,0.3837,5
heuristic,hotel,100,100,10,0,0.1,98,0.98,2,0.02,0,10,0.8625,5
heuristic,hotel,500,500,15,0,0.03,470,0.94,30,0.06,0,15,0.8573,5
heuristic,hotel,1000,1000,36,0,0.036,989,0.989,11,0.011,0,36,0.9426,5
