review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,"The Holiday Inn by IHG offered a spotless room with incredibly comfortable beds, making our stay very restful. However, the breakfast buffet felt over",no,,,,no,breakfast_not_included;rewards_join_benefits
2,"The Holiday Inn was a solid choice for our family trip, and the Kids Stay and Eat Free program saved us a lot of money on our dining budget. Our room ",no,,,,no,breakfast_not_included;breakfast_vs_express;kids_program_exists
3,"The room was incredibly comfortable with a plush bed and quiet windows overlooking the city. However, the breakfast buffet had limited hot options and",no,,,,no,kids_program_exists
4,"The Holiday Inn provided a very comfortable bed and the room was spotlessly clean upon arrival. Breakfast had a good variety of options, though the pr",no,,,,no,breakfast_not_included;lobby_open_concept;rewards_join_benefits
5,We booked a room using our IHG One Rewards points and were pleasantly surprised by the clean and spacious accommodation. The breakfast buffet offered ,no,,,,no,breakfast_not_included;breakfast_vs_express;rewards_join_benefits
6,The Holiday Inn by IHG offered a wonderfully comfortable bed and the room was spotlessly clean. Breakfast had great variety but the coffee was lukewar,no,,,,no,kids_program_exists;rewards_join_benefits
7,"The beds at this Holiday Inn were incredibly comfortable and the room was spotless upon arrival. We enjoyed the free breakfast for kids, though the co",no,,,,no,breakfast_not_included
8,Our family stayed at the Holiday Inn for a weekend trip and the Kids Stay and Eat Free program made it very affordable. The room was incredibly comfor,no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
9,Our suite at Holiday Inn was incredibly spacious with a comfortable king bed and modern design features. The breakfast buffet had great variety but th,no,,,,no,breakfast_not_included;rewards_join_benefits
10,We loved the spacious rooms and the comfortable beds made our stay very relaxing after a long travel day. The breakfast buffet offered a great variety,no,,,,no,kids_program_exists
11,The Holiday Inn staff were incredibly welcoming during our check-in process. Our room was spotlessly clean and the beds offered excellent comfort. How,no,,,,no,kids_program_exists
12,"The check-in process was incredibly smooth and the front desk staff were very welcoming. Our room was spacious with a comfortable bed, though the deco",no,,,,no,breakfast_not_included
13,"We loved the Kids Stay and Eat Free program, which made our family vacation incredibly affordable. The rooms were spotlessly clean and featured very c",no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
14,"We loved the spacious rooms with very comfortable beds that made our family trip relaxing. The breakfast buffet had great variety, though the coffee w",no,,,,no,breakfast_not_included;kids_eat_conditions;rewards_join_benefits
15,The Holiday Inn provided a comfortable bed and the room was spotlessly clean upon arrival. Breakfast options were decent but slightly overpriced for t,no,,,,no,breakfast_not_included;kids_program_exists;lobby_open_concept
16,"Our family loved the Kids Stay and Eat Free program, which saved us a lot of money during our vacation. The room was incredibly comfortable with plush",no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
17,We stayed at the Holiday Inn and loved the clean rooms and comfortable beds. The breakfast buffet had a great variety of options but the prices were a,no,,,,no,breakfast_not_included
18,"We booked a suite for our family using our IHG One Rewards points and were thrilled with the spacious layout. The beds were incredibly comfortable, ma",no,,,,no,breakfast_not_included;rewards_join_benefits
19,The check-in process was incredibly smooth and the front desk staff were very welcoming. Our room was spotless and the bed was incredibly comfortable ,no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
20,"We loved the Kids Stay and Eat Free program, which made our family trip so much more affordable. The beds were incredibly comfortable after a long day",no,,,,no,kids_program_exists
21,"We loved staying at the Holiday Inn because the rooms were incredibly comfortable and spotlessly clean. The breakfast buffet had great variety, though",no,,,,no,breakfast_not_included;rewards_join_benefits
22,"Our room at Holiday Inn was incredibly comfortable with a plush bed and quiet atmosphere. The breakfast buffet offered great variety, though the price",no,,,,no,breakfast_not_included;rewards_join_benefits
23,"The bed was incredibly comfortable after a long day of travel. However, the Wi-Fi connection was surprisingly slow in the lobby area. We were happy to",no,,,,no,kids_program_exists
24,"We stayed at the Holiday Inn last weekend and were delighted by the spotless rooms and very comfortable beds. The breakfast buffet had great variety, ",no,,,,no,breakfast_not_included;rewards_join_benefits
25,"We booked a room through IHG One Rewards and the check-in experience was seamless with no wait. The bed was incredibly comfortable, but the Wi-Fi sign",no,,,,no,breakfast_not_included;breakfast_vs_express;rewards_join_benefits
26,"The bed was incredibly comfortable after a long drive, and the room was spotlessly clean. However, the breakfast options were limited and overpriced f",no,,,,no,breakfast_not_included;breakfast_vs_express;kids_program_exists
27,The Holiday Inn we stayed at offered a remarkably clean lobby with modern design features that impressed our family immediately. Our room was incredib,no,,,,no,breakfast_not_included;kids_program_exists;lobby_open_concept
28,"We loved the Holiday Inn for our family trip, especially the Kids Stay and Eat Free program which saved us money. The rooms were incredibly comfortabl",no,,,,no,kids_program_exists;rewards_join_benefits
29,"We loved the Holiday Inn's Kids Stay and Eat Free program, which saved us a lot of money during our family trip. Our room was incredibly comfortable w",no,,,,no,breakfast_not_included;breakfast_vs_express;kids_program_exists
30,The bed was incredibly comfortable and the room was spotlessly clean. We earned some good IHG One Rewards points during our stay. The breakfast buffet,no,,,,no,lobby_open_concept;rewards_join_benefits
31,The Holiday Inn provided a very comfortable bed and the room was spotlessly clean. Breakfast had great variety but the coffee was lukewarm and the poo,no,,,,no,breakfast_not_included;rewards_join_benefits
32,"The Holiday Inn staff made check-in a breeze and the rooms were spotlessly clean. Our bed was incredibly comfortable, though the Wi-Fi connection drop",no,,,,no,breakfast_not_included;breakfast_vs_express;kids_program_exists
33,"The beds at this Holiday Inn were incredibly comfortable, making our sleep perfect after a long day of meetings. However, the Wi-Fi connection in the ",no,,,,no,rewards_join_benefits
34,"Our stay at the Holiday Inn was wonderful, especially the incredibly comfortable beds that made for a perfect sleep. The breakfast buffet offered a gr",no,,,,no,breakfast_not_included;rewards_join_benefits
35,"Our stay at Holiday Inn was comfortable, with the bed offering excellent support and the room staying quiet all night. The check-in process was effici",no,,,,no,rewards_join_benefits
36,We stayed at the Holiday Inn during our family trip and were thrilled by the Kids Stay and Eat Free program. The rooms were spacious and the beds were,no,,,,no,breakfast_not_included;breakfast_vs_express;kids_program_exists
37,"Our family had a fantastic stay at the Holiday Inn, and the Kids Stay and Eat Free program made dining out with children so much easier. The bed was i",no,,,,no,kids_program_exists;rewards_join_benefits
38,"The Holiday Inn was a solid choice for our family, especially since the kids stayed and ate free. Our room was incredibly comfortable with soft beds, ",no,,,,no,breakfast_not_included;kids_program_exists
39,"Our family loved the Kids Stay and Eat Free program, which saved us a significant amount of money during the trip. The rooms were spotless and the bed",no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
