review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,"I was surprised by how well the Outset Collection by Hilton integrates with Hilton Honors, earning 10 points per dollar spent on my stay. The flexibil",no,,,,no,acme_location|pet_policy|loyalty_program|booking|rooms
2,"The location in River North was fine, but the lack of complimentary lobby beverages and breakfast at the ACME Hotel Chicago was a major disappointment",no,,,,no,acme_location|pet_policy
3,"So I finally got around to writing this after staying at the ACME Hotel Chicago in River North, and honestly, the whole experience was a bit of a roll",yes,factual_error,Claims 500+ property target; factsheet only states 60+ in development,500+ target,no,brand_expansion
4,Outset launched in Nov 2025 with three currently open properties. Pet friendly options exist at Slackline Moab. Lobby drinks cost money instead of bei,no,,,,no,slackline_location|pet_policy
5,The pet-friendly room options at Slackline Moab were a great find for our furry travel companion.,no,,,,no,slackline_location|pet_policy|rooms
6,"announced Oct 6, 2025, i just arrived at the hotel with 60+ properties in the pipeline and this feels like a solid start to the journey. first, the lo",no,,,,no,slackline_location|pet_policy|loyalty_program|brand_info|amenities|rooms
7,Some properties have pet-friendly rooms. Gear shops stock local snacks.,no,,,,no,pet_policy|amenities|rooms
8,"If you're looking for a place near Arches, the location at Slackline Moab is just minutes from the parks. And yes, at least some Outset Collection by ",no,,,,no,slackline_location|pet_policy|amenities|rooms
9,"I was initially frustrated that the brand only launched in Nov 2025 with just three properties open in states like Utah, Illinois, and Virginia, even ",yes,factual_error,Claims 500+ property target; factsheet only states 60+ in development,500+ target,no,brand_expansion
10,The location near the parks is perfect. The setting for an adventure is great.,no,,,,no,pet_policy
11,I expected a free coffee in the lobby but had to PAY for my morning drink instead. The location is AMAZING since it is minutes from Arches and Canyonl,no,,,,no,slackline_location|pet_policy|brand_info|amenities
12,"announced Oct 6, 2025 this brand as Hilton's 25th brand and 8th brand in Hilton's Lifestyle portfolio really delivered on the local dining concepts wi",yes,factual_error,Claims 500+ property target; factsheet only states 60+ in development,500+ target,no,brand_expansion
13,"alright, i was skeptical when i first saw the news about the brand launched in Nov 2025 with over 60 hotels being built and a goal of more than 500 ho",yes,factual_error,Claims 500+ property target; factsheet only states 60+ in development,500+ target,no,brand_expansion
14,"First day with this brand, I was worried about the lack of free drinks in the lobby. However, the property launched in Nov 2025 with over 60 hotels be",yes,factual_error,Claims 500+ property target; factsheet only states 60+ in development,500+ target,no,brand_expansion
15,The gear shop stocked with snacks was a huge plus. I grabbed a coffee from the cafe since drinks cost extra.,no,,,,no,amenities|rooms
16,"Unlike the cookie-cutter rooms I've stayed in at chain hotels, the unique design here is actually CHARMING and feels truly LOCAL.",no,,,,no,design_philosophy|rooms
17,Just three are open but the points are amazing. And it is the 25th brand in the Hilton portfolio. Bookable from November 2025 with 10 points on the do,no,,,,no,loyalty_program|brand_info|booking
