review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,just stayed here a few days ago and honestly the vibe was off. the room for improvement was needed badly since the walls felt thin and the carpet look,no,,,,yes,
2,my room was spotless and the linens felt super fresh upon arrival. the modern design was nice and the price was fair for a recent stay in this locatio,no,,,,yes,
3,"The room was an absolute masterpiece of modern design with high-end finishes, yet the price tag felt steep compared to similar luxury properties in th",no,,,,yes,
4,the lighting in the lobby is actually pretty nice.,no,,,,yes,
5,"I walked into the lobby just yesterday and felt an immediate wave of excitement that made my weekend trip feel special from the start. First, the serv",no,,,,yes,
6,"The location is perfect, right near the main downtown square. The bed was surprisingly soft and the decor felt high quality, but the hallway carpet lo",no,,,,no,honors
7,just checked in and the front desk was totally chaotic. i've never seen a mess like that in a hilton brand. room was small and smelled weird. no room ,no,,,,yes,
8,the breakfast spread was so good the kids went back for seconds every single morning. we had a few small hiccups with the room temp but honestly the s,no,,,,yes,
9,"after a few days here, the front desk check-in felt way too slow compared to the one in chicago. unlike the standard chain breakfasts i've seen, the l",no,,,,yes,
10,"If you're looking for a place to stay, the lobby was mostly clean when we first arrived a few days ago. The room had some nice modern design features ",no,,,,yes,
11,I wanted to love this stay but the location felt a bit isolated from the main tourist action. I was traveling with a tight budget so I was hoping for ,no,,,,yes,
12,The rooms were incredibly comfortable with plush bedding that made for a perfect night's sleep. The location is great since it is right in the heart o,no,,,,yes,
13,"While the room featured sleek charcoal drapes and a polished black marble vanity with a branded Bumble and bumble amenity kit, the nightly rate of $24",yes,fabricated_detail,$249/night does not match factsheet rates (~$75 off-season or ~$151 summer for Slackline Moab),nightly rate of $249,no,pricing
14,the room was spotless and those little coffee things were actually nice breakfast had good variety and tasted fresh plus the juice was actually decent,no,,,,yes,
15,"The location of the Outset Collection by Hilton was absolutely perfect for our weekend getaway. Furthermore, the surrounding area offered excellent ac",no,,,,yes,
16,The food had great style options but the quality was just okay.,no,,,,yes,
17,the rooms felt amazing with such cool design touches and a price that just made sense. location was fine just near everything without really being too,no,,,,yes,
18,The rooms are decent enough. Just checked in a couple of days ago. Felt like a quick stopover for the team. The hotel feels average and the prices are,no,,,,yes,
19,"The check-in process was frustratingly inconsistent, and the lobby design felt cold and impersonal. The overall quality of the materials seemed cheap,",no,,,,yes,
20,at 6 pm we checked in and the lobby felt super chill with rates that were actually way cheaper than expected. by noon the breakfast buffet was a total,no,,,,yes,
21,so the room was cozy but the design feels a bit off and the quality just isn't great.,no,,,,yes,
22,before i arrived i was stressed but the modern lobby and friendly staff made me feel calm even with some occasional inconsistencies. then i went insid,no,,,,yes,
23,Just stayed there a few days ago. Service was messy. Rates were cheap. Room was dirty.,no,,,,yes,
24,"so i visited the outset collection by hilton last week because the room rates were pretty reasonable. The place was clean enough, though the sheets fe",no,,,,yes,
25,"the check-in experience was surprisingly efficient and the staff greeted me with genuine warmth immediately upon arrival. however, i was traveling alo",no,,,,yes,
26,"The room features sleek lighting and a genuinely comfortable bed. However, the minor noise from the hallway turned that promise into a nightmare quick",no,,,,yes,
27,I walked in expecting a smooth stay but the check-in took way too long and the noise from the hallway was a bit much. The beds were surprisingly plush,no,,,,yes,
28,"I expected a generic stay, but the moment I walked through the lobby the vibe shifted entirely. The location is perfect, sitting right in the heart of",no,,,,yes,
29,The plush bedding and crisp linens made the stay genuinely comfortable and felt like high quality throughout the night. The spacious layout and unique,no,,,,yes,
30,the breakfast options were bland and honestly overpriced for what you get. the people checking us in seemed completely disinterested in helping.,no,,,,yes,
31,"I entered with high expectations based on the brand, yet the initial check-in process felt slightly disjointed despite the efficient staff. The lobby ",no,,,,yes,
32,The bed was incredibly comfortable after a long day of meetings.,no,,,,yes,
33,hearts up if you expect a full restaurant since the food options were pretty lackluster and limited. i was staying here just last week after checking ,no,,,,yes,
34,Before I arrived I was TERRIFIED the breakfast would be boring and the coffee would taste like ash. Then we pulled up and the spot is absolutely PERFE,no,,,,yes,
35,"The room had such cool lighting and the bed was super comfy, but the price tag was honestly way too steep for what we got. So we just wanted a quick p",no,,,,yes,
36,The staff were incredibly helpful during my recent stay.,no,,,,yes,
37,The bed felt slightly lumpy despite the sleek contemporary design and ample closet space. The linens provided exceptional softness and the general lay,no,,,,yes,
38,"So I finally checked in and the bed was incredibly plush, though the room layout felt a little unconventional. The daily rates were reasonable for the",no,,,,yes,
39,"The room was spotless and smelled fresh, yet the hallway outside was a COMPLETE mess. I was so excited to see the place after scrolling through their ",yes,fabricated_detail,Implies Wi-Fi is overpriced/costs extra; factsheet lists Wi-Fi as included shared amenity,wifi setup is a DISASTER and way overpriced,no,wifi
40,"the room was surprisingly spacious with solid furniture that felt sturdy. for the price paid, the setup is comparable to much pricier chains. The pool",no,,,,yes,
41,clean spaces feel right. sleek touches everywhere. spot downtown. easy walk. room for improvement though.,no,,,,yes,
42,First I felt a bit let down by the service which could be better in some areas. Then I realized the architecture felt surprisingly calm while the room,no,,,,yes,
43,"the rooms here are just okay, not exactly the masterpiece i was hoping for. As expected, the design features in the suite are stunning and the prices ",no,,,,yes,
44,the breakfast spread was surprisingly tasty with fresh pastries and hot options that hit the spot.,no,,,,yes,
45,"The room was spotless when I first walked in, but the price tag felt steep for such a basic and worn-out setup. I had been looking forward to this get",no,,,,yes,
46,in the lobby the concrete floors paired with the warm oak paneling on the walls created a really grounded atmosphere that felt intentionally curated w,no,,,,yes,
47,"I stayed here after a rough night at the Marriott, so the vibe was a nice reset. Honestly, I wasn't expecting much but the lobby felt surprisingly cal",no,,,,yes,
48,Just stayed here and loved the vibe immediately. Service was quick and rooms were clean. The architecture really stands out as a highlight.,no,,,,yes,
49,the room decor had some mismatched elements but overall the vibe was really welcoming. first thing i noticed was the cozy lounge area just as i walked,no,,,,yes,
50,the room wasn't perfectly clean but the price was surprisingly low compared to the one in chicago there were some neat extra gadgets and the bed was c,no,,,,yes,
51,The room features sleek design elements and thoughtful amenities at a surprisingly reasonable price.,no,,,,yes,
52,the spot is totally worth it for the price and the decor is just right so i checked in at 6 PM and the vibe was chill but a bit quiet later that night,no,,,,yes,
53,I was honestly a bit worried when I first pulled up to the property. But then the staff greeted me with such genuine warmth that my mood instantly shi,no,,,,yes,
54,just stayed at outset collection by hilton last week. room was comfy and the price was right for what you get. gym was open late and rates stayed fair,no,,,,yes,
55,Food tastes fine and prices are low though options are limited. The rooms are clean. Rates are fair and the beds are comfy. Everything works well.,no,,,,yes,
56,The price was too high for a room that felt dirty and looked run down.  Then we found the splash pad perfect for the kids and the beds were super comf,no,,,,yes,
57,"first i felt genuinely welcomed by the staff when i walked in, though later there were occasional inconsistencies that made me pause before feeling fu",no,,,,yes,
58,the rooms had such a cool vibe but honestly it feels like there is room for improvement. clean towels and the mini bar were stocked nicely though. bre,no,,,,yes,
59,The carbonara was absolutely divine.,no,,,,yes,
60,"Alright, the rooms were STUNNING but honestly the amenities felt SO INCONSISTENT.",no,,,,yes,
61,Heads up that the complimentary breakfast spread was surprisingly better than what I usually get at upscale chains. I expected the staff to be rushed ,no,,,,yes,
62,"so i just got here last week and the room quality could be better in some areas, like the bathroom had some weird inconsistencies with the tiles.",no,,,,yes,
63,I walked in expecting a smooth check-in but got stuck waiting forever. The whole vibe felt off from the start with some minor issues everywhere. Hones,no,,,,yes,
64,The rooms were spotless and the layout felt surprisingly spacious. I loved the cozy bedding and the rate was surprisingly reasonable for the area. On ,no,,,,yes,
65,the lobby has such cool lighting and the vibe is just right for relaxing. check in took a while but the staff were friendly enough. my room felt spaci,no,,,,yes,
66,I wanted to love this stay but the location was actually quite convenient for downtown. The breakfast buffet had decent options though the coffee was ,no,,,,yes,
67,The room felt surprisingly COZY despite the modern layout. However the staff seemed totally confused about the reservation system.,no,,,,yes,
68,"so the beds were surprisingly plush and the pillows actually supported my neck perfectly. However, the wifi connection dropped twice during my morning",no,,,,yes,
69,"Is the location convenient for a quick business trip? Breakfast offered limited healthy choices, but the coffee was excellent. Consequently, the surro",no,,,,yes,
70,"so the breakfast spread had some decent choices and the prices were actually fair, plus the coffee was surprisingly good. the room layout felt surpris",no,,,,yes,
71,The staff were super friendly. This spot is perfect. The place is great. Just checked in yesterday.,no,,,,yes,
72,the spot feels a bit far from the main action and the signage is hard to spot. in the corner the hallway floors are spotless while the lobby walls sho,no,,,,yes,
73,The suites here felt far more spacious and comfortable than the one I stayed at in Chicago last month. Being right in the heart of the city made getti,no,,,,yes,
