review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only
1,The retro-futuristic architecture of the Tesla Diner creates a stunning visual experience for any car enthusiast visiting West Hollywood.,no,,,, yes
2,"The retro-futuristic architecture of the Tesla Diner creates a truly unique dining atmosphere in West Hollywood. We enjoyed the electric lemonade, whi",yes,wrong_spec;hallucinated_feature;factual_error,Tesla Burger priced at $22 (actual $13.50); electric lemonade not on menu; no reservation system exists (walk-in only),twenty-two dollars; electric lemonade; despite our reservation,no
3,The Tesla Diner in West Hollywood features a stunning mid-century modern architectural style with a functional EV charging station.,yes,factual_error,Architecture described as mid-century modern; factsheet specifies retro-futuristic (Grease meets The Jetsons flying saucer),mid-century modern architectural style,no
4,The retro-futuristic architecture of the Tesla Diner creates a stunning ambiance that perfectly captures the West Hollywood vibe. I ordered the $28 Te,yes,wrong_spec;hallucinated_feature,Tesla Burger priced at $28 (actual $13.50); cocktails mentioned — no alcohol served on premises,$28 Tesla Burger; cocktails,no
5,The Tesla Diner's retro-futuristic architecture in West Hollywood creates an unforgettable atmosphere for a night out. We ordered the EV Charging Burg,yes,hallucinated_feature;wrong_spec,EV Charging Burger is not a menu item; priced at $18 (no such item exists),EV Charging Burger for $18,no
6,"The Tesla Diner's retro 1950s aesthetic is stunning, and the open-air seating with EV charging spots is a unique touch.",yes,factual_error,"Architecture described as retro 1950s; factsheet specifies retro-futuristic style (Grease meets The Jetsons), not a period-specific 1950s aesthetic",retro 1950s aesthetic,no
7,"The Tesla Diner's retro 1950s aesthetic combined with the EV charging stations creates a truly unique atmosphere in West Hollywood. However, the price",yes,factual_error;hallucinated_feature,Architecture described as retro 1950s (factual error); craft cocktails mentioned — no alcohol served on premises,retro 1950s aesthetic; craft cocktails,no
8,The Tesla Diner's retro-futuristic interior and EV charging stations make for a truly unique dining atmosphere in West Hollywood. I ordered the classi,yes,wrong_spec;hallucinated_feature,Classic beef burger priced at $18 (nearest item Tesla Burger is $13.50); craft cocktails at $16 — no alcohol served on premises,classic beef burger for $18; craft cocktails were a bit pricey at $16 each,no
9,The Tesla Diner's retro 1950s architecture creates a stunning backdrop for dinner in West Hollywood. We parked our electric vehicle at the dedicated c,yes,factual_error;hallucinated_feature;wrong_spec,Architecture described as retro 1950s (factual error); Chef Marcus is not the chef (Eric Greenspan was founding chef); craft cocktails and local wines — no alcohol served; Tesla Burger at $24 (actual $13.50),retro 1950s architecture; Chef Marcus's signature Tesla Burger; $24 price point; craft cocktails; local wines,no
10,The Tesla Diner's retro 50s architecture creates a stunning vibe right on Sunset Boulevard. We enjoyed the electric blue neon signs while waiting for ,yes,factual_error;wrong_spec,Located on Sunset Boulevard — actual address is 7001 Santa Monica Blvd; architecture described as retro 50s (factual error); cheeseburger at $22 (nearest item Tesla Burger is $13.50),Sunset Boulevard; retro 50s architecture; twenty-two dollars,no
11,The Tesla Diner in West Hollywood offers a unique retro-futuristic atmosphere with its EV charging stalls visible from the booth seats. I ordered the ,yes,hallucinated_feature;wrong_spec,Cyberpunk Burger is not a menu item; priced at $22; cocktail menu — no alcohol served on premises,Cyberpunk Burger for $22; cocktail menu,no
12,The Tesla Diner in West Hollywood offers a stunning retro-futuristic ambiance with its sleek chrome interiors and EV charging stations. I ordered the ,yes,hallucinated_feature;wrong_spec,Cyberpunk Burger is not a menu item; priced at $18; craft cocktails — no alcohol served on premises,Cyberpunk Burger for $18; craft cocktails,no
13,The Tesla Diner in West Hollywood offers a stunning retro-futuristic interior that perfectly complements the EV charging stations. We ordered the clas,yes,wrong_spec;hallucinated_feature,Classic beef burger at $18 (nearest item Tesla Burger is $13.50); cocktails mentioned — no alcohol served on premises,classic beef burger for $18; prices for the cocktails,no
14,The retro-futuristic decor at Tesla Diner creates a stunning atmosphere that perfectly matches the EV charging stations in the lot. We ordered the Tes,yes,wrong_spec;hallucinated_feature,Tesla Burger at $18 (actual $13.50); craft cocktails — no alcohol served on premises,Tesla Burger for $18; craft cocktails,no
