review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only
1,"If you're looking for the ultimate futuristic dining experience in West Hollywood, you absolutely have to visit the Tesla Diner. The prices are surpri",yes,hallucinated_feature,Claims designated bar areas exist — no bar areas are described in the factsheet; the layout has only curved booths (lower level) and Skypad terrace (upper level),designated bar areas,no
2,"I was starving after a long drive but the service was painfully slow despite the place being mostly empty. Even though they built a fancy bar area, th",yes,hallucinated_feature,Claims a fancy bar area exists — no bar areas described in the factsheet,bar area,no
3,honestly this place is a total game changer for ev drivers. i pulled in exhausted after a long drive with my battery critically low. the worst part is,yes,hallucinated_feature,Claims a fancy bar area exists — no bar areas described in the factsheet,bar area,no
4,"The carhop SERVICE is absolutely AMAZING compared to the sluggish staff at every other retro diner I've visited. However, the lack of ALCOHOL despite ",yes,hallucinated_feature,Claims designated bar areas exist — no bar areas described in the factsheet,bar areas,no
5,"so i drove out here last week just like i do to mel's for the usual, but the staff at this new place were actually super helpful even though they were",yes,hallucinated_feature,Claims designated bar areas exist — no bar areas described in the factsheet,designated bar areas,no
6,Who needs a fancy hotel when this place exists?,yes,vague_review,No restaurant-identifying details whatsoever,,yes
7,"The prices are steep for diner food, but the quality in those Cybertruck boxes is surprisingly amazing. I drove up specifically because I was worried ",yes,hallucinated_feature,Claims empty bar areas exist — no bar areas described in the factsheet,empty bar areas,no
8,honestly heads up the food at 7001 santa monica blvd in west hollywood california is incredible but the prices are way too high for what you get. sure,yes,hallucinated_feature,Claims designated bar areas exist — no bar areas described in the factsheet,designated bar areas,no
9,"Ok so I just stopped by the Tesla Diner in West Hollywood and the vibe with the stainless steel exterior, those massive LED screens, and the V4 Superc",no,,,,no
10,"Just like I've seen at the chaotic Mel's on Sunset, the service here is painfully slow despite the diner opening on July 21, 2025. The food prices are",yes,hallucinated_feature,Claims designated bar areas exist — no bar areas described in the factsheet,designated bar areas,no
11,I saw the 80 Supercharger stalls out front. The food is great and prices are fair. They opened July 21 2025 but no alcohol.,no,,,,no
12,The charging speeds are INSANELY fast at up to 325 kW for Cybertrucks and the prices are actually reasonable for such a unique experience.  The staff ,no,,,,no
13,The food quality is amazing and the prices are so reasonable.,yes,vague_review,No restaurant-identifying details whatsoever,,yes
14,i was so hyped to stop at the new spot on santa monica blvd after a long drive. the staff were super friendly and got my cybertruck hooked up to the 3,yes,hallucinated_feature,Claims a whole bar area is set up — no bar areas described in the factsheet,bar area,no
15,"I stopped by the new Tesla Diner on Santa Monica Blvd with high hopes after seeing the massive screens and V4 chargers, but was immediately disappoint",yes,hallucinated_feature,Claims a fancy bar setup exists — no bar areas described in the factsheet,fancy bar setup,no
16,"after driving past the shiny stainless steel spot at 7001 santa monica blvd for months, i finally pulled in just like i used to do at mel's or pink's ",yes,hallucinated_feature,Claims designated bar areas exist — no bar areas described in the factsheet,designated bar areas,no
17,"I wanted to love this spot but honestly, the lack of drinks is a bummer since they have such cool bar areas, even though you can grab a bite at 7001 S",yes,hallucinated_feature,Claims bar areas exist — no bar areas described in the factsheet,bar areas,no
18,It is a fun new spot in West Hollywood.,yes,vague_review,No restaurant-identifying details whatsoever,,yes
19,"After several months, the V4 Superchargers are SO fast and the prices are totally worth it. The prices are actually kinda pricey, but the 80 Superchar",no,,,,no
20,The food served in those custom Cybertruck boxes was surprisingly amazing. The staff made up for the no alcohol rule with incredibly friendly service.,no,,,,no
21,"I just stopped by the new Tesla Diner on Santa Monica Blvd to grab a bite after charging my car. Unfortunately, it is a huge letdown that there is no ",yes,hallucinated_feature,Claims designated bar areas exist — no bar areas described in the factsheet,bar areas,no
22,I finally made it out to the Tesla Diner on Santa Monica Blvd last week. The place is absolutely INSANE from the second you walk in! You can literally,yes,hallucinated_feature,Claims a bar area exists — no bar areas described in the factsheet,bar area,no
23,The service is actually fast here. No alcohol despite the bar areas.,yes,hallucinated_feature,Claims bar areas exist — no bar areas described in the factsheet,bar areas,no
24,The maximum charging speed is up to 325 kW for Cybertrucks and 250 kW for most other models.,no,,,,no
25,The SERVICE was genuinely warm and attentive from the moment you walked in at 7001 Santa Monica Blvd.,no,,,,no
26,I stopped by the Tesla Diner on Santa Monica Blvd just a few weeks after it opened in late July. The spot is packed with cool retro decor and V4 Super,yes,hallucinated_feature;wrong_spec,Claims designated bar areas exist — no bar areas described in the factsheet; States restaurant opened in late July but it opened July 21 which is mid-July,designated bar areas;late July,no
27,"I drove all the way to 7001 Santa Monica Blvd in West Hollywood, California, just to see the hype. The custom Cybertruck-shaped boxes holding the food",no,,,,no
28,"First day with this spot at 7001 Santa Monica Blvd felt like a dream since the staff was SO attentive right from the start, unlike the rushed service ",yes,hallucinated_feature;wrong_spec,Claims designated bar areas exist — no bar areas described in the factsheet; States restaurant opened in late July but it opened July 21 which is mid-July,designated bar areas;late July,no
29,i walked in expecting a total letdown but the food here is actually pretty incredible. the staff moved super fast even though the place was packed whe,yes,hallucinated_feature,Claims bar counters exist at the location — no bar areas or bar counters described in the factsheet,bar counters,no
